test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand
A2M	0.686837928616248	0.00379835343793769	0.00157027970895248	0.0212449069215515	20	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
MIF	0.612944302956483	0.00376763189048675	0.00153955816150154	0.0171264831499663	21	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
ADAM9	0.70898387037242	0.00376656817818708	0.00153849444920186	0.0148227067370435	22	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
KITLG	0.661979108994943	0.00373902546358647	0.00151095173460126	0.0112320162861379	23	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
COL18A1	0.64417008083269	0.00366688092787818	0.00143880719889297	0.0162706176678299	24	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
RTN4	0.678717749972321	0.00365647778399266	0.00142840405500744	0.0164640802327577	25	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
APP	0.590336987413724	0.0036138915513513	0.00138581782236609	0.0153626577582022	26	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
LAMA4	0.594212527221053	0.00361040182346637	0.00138232809448115	0.0164112567668714	27	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
GAS6	0.687133207839664	0.00358810755880296	0.00136003382981775	0.0214509126654141	28	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
ENG	0.676946074631824	0.00354049286560775	0.00131241913662254	0.0148874564836735	29	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
FGF14	0.624534012475547	0.00352720100795391	0.0012991272789687	0.0170331360060562	30	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
TSPAN3	0.609862326062083	0.00350672631415392	0.0012786525851687	0.0175390985035714	31	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
COL4A1	0.663289410548851	0.00348748753565674	0.00125941380667153	0.0124428472860933	32	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
THY1	0.668401432104234	0.00343951459680226	0.00121144086781704	0.0163877050647517	33	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
FN1	0.651625881223933	0.003427870125625	0.00119979639663979	0.0140834632146799	34	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
COL6A2	0.662938766471045	0.0034264291453971	0.00119835541641189	0.0170849174461841	35	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
S100A4	0.621913409367735	0.00342195617699389	0.00119388244800867	0.0166949838379718	36	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
COL5A2	0.664046063558852	0.00340404511237216	0.00117597138338694	0.0116025179695504	37	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
COL6A3	0.632285092090208	0.00339968917119728	0.00117161544221207	0.0171535447899213	38	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
EDIL3	0.646864503746355	0.00339144926732838	0.00116337553834316	0.0175597618294989	39	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
COL6A1	0.675045214631085	0.00336321512587037	0.00113514139688516	0.0123230974294468	40	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
PSAP	0.640626730151702	0.00334692358425916	0.00111884985527395	0.0127631799836609	41	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
EFEMP1	0.673402723950836	0.00334385286006294	0.00111577913107773	0.0178348831644455	42	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
LPL	0.653286826855646	0.00332173903113834	0.00109366530215313	0.0119721492854175	43	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
ECM1	0.646476949765622	0.0033040779701151	0.00107600424112989	0.0174689616941385	44	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
MCAM	0.645609567046839	0.00329285606210012	0.00106478233311491	0.0129362581113113	45	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
CD44	0.627376075000924	0.00328768655270745	0.00105961282372224	0.011901226926179	46	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
CCN2	0.651902705495886	0.0032581309220269	0.00103005719304168	0.00744733183046086	47	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
DKK3	0.592311667220315	0.00324538115343216	0.00101730742444695	0.013817525898139	48	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
