test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
LAMC2	0.824801706325399	0.0662601485792021	0.058226825163552	0.134363537783465	135	Pericyte_fibroblast_like
SLITRK6	0.809738052389515	0.0662424859318599	0.0582091625162098	0.139437847208065	136	Pericyte_fibroblast_like
SEMA3B	0.803894776600234	0.0662269358417545	0.0581936124261044	0.136846873501691	137	Pericyte_fibroblast_like
NLGN2	0.799751160878937	0.0662257439315484	0.0581924205158983	0.134500532933198	138	Pericyte_fibroblast_like
NCAM1	0.826945721966711	0.0661654611921311	0.0581321377764809	0.143398337192933	139	Pericyte_fibroblast_like
NFASC	0.813192916972161	0.0660953358941684	0.0580620124785183	0.14330757550457	140	Pericyte_fibroblast_like
NRP1	0.821180208402762	0.0659104926082607	0.0578771691926106	0.0927957545673799	141	Pericyte_fibroblast_like
CD99	0.823124264036082	0.0657004796344174	0.0576671562187673	0.0916576718347149	142	Pericyte_fibroblast_like
LAMA4	0.829167499833366	0.0656814721703217	0.0576481487546716	0.144294706841831	143	Pericyte_fibroblast_like
CEACAM6	0.782898975760394	0.0656421911169649	0.0576088677013148	0.128658694191699	144	Pericyte_fibroblast_like
CD1B	0.81011575462685	0.0655066965712841	0.057473373155634	0.138186612078287	145	Pericyte_fibroblast_like
MFGE8	0.81324846141882	0.0653232853535086	0.0572899619378585	0.128346615537371	146	Pericyte_fibroblast_like
LTBP3	0.653502632806772	0.0652638889317208	0.0572305655160707	0.0759398958723068	147	Pericyte_fibroblast_like
SLIT3	0.814948121486809	0.0652638346376666	0.0572305112220165	0.134214756652516	148	Pericyte_fibroblast_like
SPP1	0.795796396276299	0.0652245638671844	0.0571912404515343	0.0922483137529484	149	Pericyte_fibroblast_like
SEMA4A	0.812381968050832	0.0649547685069589	0.0569214450913088	0.13949569508904	150	Pericyte_fibroblast_like
THY1	0.846308516074565	0.0649045268212516	0.0568712034056015	0.14229228055219	151	Pericyte_fibroblast_like
SEMA3D	0.810137972405512	0.0648632596162762	0.0568299362006261	0.135180403036818	152	Pericyte_fibroblast_like
S100B	0.827278988646713	0.0648510233758299	0.0568176999601798	0.108826704261323	153	Pericyte_fibroblast_like
SIRPA	0.785709524761714	0.0648135159475552	0.0567801925319051	0.139988402296776	154	Pericyte_fibroblast_like
LAMB1	0.831555911040005	0.0646485581763953	0.0566152347607452	0.141564118017051	155	Pericyte_fibroblast_like
GRN	0.78970872492168	0.0646227023906484	0.0565893789749983	0.135285137655536	156	Pericyte_fibroblast_like
IL16	0.809482547934847	0.064411053075547	0.0563777296598969	0.142021684599678	157	Pericyte_fibroblast_like
COL18A1	0.822268879557423	0.0643903273682424	0.0563570039525923	0.140606416428036	158	Pericyte_fibroblast_like
ANGPTL1	0.799129063076273	0.0643284994481351	0.0562951760324849	0.138945411904567	159	Pericyte_fibroblast_like
HSPG2	0.832689017752005	0.0642075886863813	0.0561742652707312	0.110173721353601	160	Pericyte_fibroblast_like
COL4A3	0.823979648514733	0.0641885442663554	0.0561552208507053	0.143188676585994	161	Pericyte_fibroblast_like
THBS1	0.789697616032341	0.0641749802974705	0.0561416568818204	0.116792727487213	162	Pericyte_fibroblast_like
PLAT	0.806260970028212	0.0637547769014818	0.0557214534858317	0.104385461536207	163	Pericyte_fibroblast_like
COL13A1	0.822568819569414	0.0634390386010707	0.0554057151854206	0.145205853002098	164	Pericyte_fibroblast_like
ADAM12	0.817247661578791	0.0633463842119305	0.0553130607962804	0.134427877990025	165	Pericyte_fibroblast_like
C1QA	0.819658290564103	0.0628771153156412	0.0548437918999911	0.139679818533313	166	Pericyte_fibroblast_like
COL8A1	0.784443111377725	0.0627990045890203	0.0547656811733702	0.131875051901123	167	Pericyte_fibroblast_like
SYT1	0.80152858317225	0.0627838840379019	0.0547505606222518	0.137674159094619	168	Pericyte_fibroblast_like
SDC2	0.788164589304353	0.0625032643280618	0.0544699409124117	0.134197090866908	169	Pericyte_fibroblast_like
PLEKHO2	0.813048501410826	0.062415602817412	0.0543822794017619	0.13741408481144	170	Pericyte_fibroblast_like
