feature	spearman_rho	p_value	n	block	root	neighbors	n_dcs	frac	seed
basement_membrane_score	-0.27737681634490974	2.5590336839628534e-205	11680	root	1	30	10	1.0	13
AGTR1_expr	0.1125180120306641	3.196250635254397e-34	11680	root	1	30	10	1.0	13
vascular_stabilizing_score	-0.4875080831892521	0.0	11680	root	0	30	10	1.0	13
inflammatory_score	-0.4521057771122824	0.0	11680	root	0	30	10	1.0	13
synthetic_contractile_score	-0.4511965294713147	0.0	11680	root	0	30	10	1.0	13
activated_migratory_score	-0.391652413203937	0.0	11680	root	0	30	10	1.0	13
fibroblast_like_score	-0.22243913229394519	6.89188470550996e-131	11680	root	0	30	10	1.0	13
basement_membrane_score	0.2773928532272108	2.418853242961946e-205	11680	root	0	30	10	1.0	13
AGTR1_expr	-0.1304477163363678	1.6898105904396327e-45	11680	root	0	30	10	1.0	13
vascular_stabilizing_score	-0.4853052586156541	0.0	11680	root	2	30	10	1.0	13
inflammatory_score	-0.4302467359960479	0.0	11680	root	2	30	10	1.0	13
synthetic_contractile_score	-0.3799646442600325	0.0	11680	root	2	30	10	1.0	13
activated_migratory_score	-0.2823369490613374	5.780269532328842e-213	11680	root	2	30	10	1.0	13
fibroblast_like_score	-0.16236569906528897	8.088495487494275e-70	11680	root	2	30	10	1.0	13
basement_membrane_score	0.3514512240173497	0.0	11680	root	2	30	10	1.0	13
AGTR1_expr	-0.07280686235741334	3.3227244921028307e-15	11680	root	2	30	10	1.0	13
vascular_stabilizing_score	-0.4974466418121014	0.0	11680	root	3	30	10	1.0	13
inflammatory_score	-0.35645312934017276	0.0	11680	root	3	30	10	1.0	13
synthetic_contractile_score	-0.4279167762744328	0.0	11680	root	3	30	10	1.0	13
activated_migratory_score	-0.2830526017122334	4.4225158453424355e-214	11680	root	3	30	10	1.0	13
fibroblast_like_score	-0.2234096923186668	4.805640777751523e-132	11680	root	3	30	10	1.0	13
basement_membrane_score	0.22070692014248752	7.740994347274143e-129	11680	root	3	30	10	1.0	13
AGTR1_expr	-0.12606788734240074	1.3778198387102347e-42	11680	root	3	30	10	1.0	13
vascular_stabilizing_score	-0.45458881878521784	0.0	11680	root	4	30	10	1.0	13
inflammatory_score	-0.37471816650395845	0.0	11680	root	4	30	10	1.0	13
synthetic_contractile_score	-0.339558796979804	0.0	11680	root	4	30	10	1.0	13
activated_migratory_score	-0.2784432018292117	5.991951128028646e-207	11680	root	4	30	10	1.0	13
fibroblast_like_score	-0.20025805644420264	5.951783955224699e-106	11680	root	4	30	10	1.0	13
basement_membrane_score	0.2506189541504994	9.347221965191816e-167	11680	root	4	30	10	1.0	13
