test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
PI16	0.774577195853786	0.0444972283928967	0.0357366832923126	0.117489806394441	199	Pericyte_cg_vascular_stabilizing
VSIG10	0.755494938473658	0.0441060748460886	0.0353455297455046	0.10357395984776	200	Pericyte_cg_vascular_stabilizing
SPON2	0.71581499666606	0.0438311926457471	0.0350706475451631	0.104615208309053	201	Pericyte_cg_vascular_stabilizing
BMP6	0.796738800994118	0.0437743930968481	0.035013847996264	0.0694518705458954	202	Pericyte_cg_vascular_stabilizing
POSTN	0.792531975510696	0.0436120985173757	0.0348515534167917	0.0613351520488098	203	Pericyte_cg_vascular_stabilizing
ANGPT2	0.761289931502693	0.043566372263188	0.0348058271626039	0.11632826902482	204	Pericyte_cg_vascular_stabilizing
COL10A1	0.775474328665815	0.0435548310273534	0.0347942859267693	0.0864413954262651	205	Pericyte_cg_vascular_stabilizing
IFITM1	0.813954052251927	0.0434509327637389	0.0346903876631549	0.126589616787592	206	Pericyte_cg_vascular_stabilizing
CX3CL1	0.790228526398738	0.0433408500568704	0.0345803049562864	0.0635226673241969	207	Pericyte_cg_vascular_stabilizing
NECTIN3	0.819458083287871	0.0432055322015344	0.0344449871009504	0.0659814022439246	208	Pericyte_cg_vascular_stabilizing
GAS6	0.740086076256287	0.0431819781308713	0.0344214330302872	0.110912346746611	209	Pericyte_cg_vascular_stabilizing
SERPINE2	0.767509244104989	0.0428978503340637	0.0341373052334796	0.106925604596964	210	Pericyte_cg_vascular_stabilizing
FGF18	0.83593380614657	0.0428611497351222	0.0341006046345382	0.0735510932149415	211	Pericyte_cg_vascular_stabilizing
HGF	0.792107655937441	0.0422993800750883	0.0335388349745043	0.100068669820764	212	Pericyte_cg_vascular_stabilizing
ANGPTL2	0.844917257683212	0.0417086050377151	0.0329480599371311	0.0607175783660676	213	Pericyte_cg_vascular_stabilizing
SIGLEC1	0.738194823301203	0.0416701787137003	0.0329096336131163	0.112805092112882	214	Pericyte_cg_vascular_stabilizing
BMP2	0.826283566709097	0.0414912191240467	0.0327306740234627	0.122052077459622	215	Pericyte_cg_vascular_stabilizing
DLL1	0.775462205249437	0.0408006193952131	0.032040074294629	0.0932165299045372	216	Pericyte_cg_vascular_stabilizing
TNFSF14	0.807237679578105	0.040719590282898	0.031959045182314	0.0633809066687977	217	Pericyte_cg_vascular_stabilizing
SEMA4C	0.791659089531428	0.0404517968811426	0.0316912517805586	0.116988282687555	218	Pericyte_cg_vascular_stabilizing
WNT5A	0.775571315996849	0.0400801316194638	0.0313195865188797	0.0966286992061968	219	Pericyte_cg_vascular_stabilizing
LAMA2	0.811783960720128	0.0400298726227377	0.0312693275221536	0.0638905285810061	220	Pericyte_cg_vascular_stabilizing
SEMA3C	0.765254288658542	0.0399252697582274	0.0311647246576433	0.110242525877337	221	Pericyte_cg_vascular_stabilizing
JAG2	0.788737346184154	0.0396360662444495	0.0308755211438655	0.11379659894794	222	Pericyte_cg_vascular_stabilizing
CCN4	0.765217918409407	0.0392368528930982	0.0304763077925142	0.1033521986402	223	Pericyte_cg_vascular_stabilizing
NECTIN2	0.798254228041462	0.0384724423230887	0.0297118972225046	0.0845325337413199	224	Pericyte_cg_vascular_stabilizing
MIF	0.789840577074618	0.0383727323180551	0.029612187217471	0.0904575329050556	225	Pericyte_cg_vascular_stabilizing
ZNRF3	0.773352730799538	0.038351107193287	0.029590562092703	0.10528546330119	226	Pericyte_cg_vascular_stabilizing
ESAM	0.765072437412861	0.0380793975939272	0.0293188524933431	0.107666983716779	227	Pericyte_cg_vascular_stabilizing
LFNG	0.77917197066133	0.037909338260521	0.0291487931599369	0.110749614533254	228	Pericyte_cg_vascular_stabilizing
IL6	0.802327695944714	0.0371723357032931	0.0284117906027091	0.0780512994934761	229	Pericyte_cg_vascular_stabilizing
ANGPTL4	0.80777110989877	0.0370403159029995	0.0282797708024154	0.0298352797784929	230	Pericyte_cg_vascular_stabilizing
PAM	0.788725222767773	0.0359662486910991	0.027205703590515	0.108044087824608	231	Pericyte_cg_vascular_stabilizing
CXCL12	0.812244650542525	0.0355501283324307	0.0267895832318467	0.0715959093429527	232	Pericyte_cg_vascular_stabilizing
TNFSF13	0.770176395708309	0.0355411279125972	0.0267805828120132	0.0465764070977443	233	Pericyte_cg_vascular_stabilizing
JAG1	0.831157180093351	0.0354241355381523	0.0266635904375683	0.0473087626103237	234	Pericyte_cg_vascular_stabilizing
ANGPT1	0.775304600836513	0.0353606078114061	0.0266000627108221	0.0716397778964115	235	Pericyte_cg_vascular_stabilizing
LIF	0.733794023155723	0.0352989275445168	0.0265383824439328	0.0761883388560713	236	Pericyte_cg_vascular_stabilizing
CLCF1	0.706213250894098	0.0352799315314473	0.0265193864308633	0.0878853091828046	237	Pericyte_cg_vascular_stabilizing
PCDHA10	0.757095229435651	0.0349634112799965	0.0262028661794125	0.100028213281379	238	Pericyte_cg_vascular_stabilizing
TGFB3	0.831836091410557	0.0348014818641745	0.0260409367635905	0.0898810431959047	239	Pericyte_cg_vascular_stabilizing
NGF	0.75665878644602	0.0347997208018025	0.0260391757012184	0.0407054101136338	240	Pericyte_cg_vascular_stabilizing
MFNG	0.765957446808511	0.0346787337762823	0.0259181886756982	0.104817222259142	241	Pericyte_cg_vascular_stabilizing
APP	0.82307086136873	0.0344066771273696	0.0256461320267856	0.0427572964266376	242	Pericyte_cg_vascular_stabilizing
MYOC	0.803964357155845	0.0339294563520235	0.0251689112514394	0.0272278220814256	243	Pericyte_cg_vascular_stabilizing
WNT9A	0.79118627629266	0.0338611919929801	0.025100646892396	0.0412131441922141	244	Pericyte_cg_vascular_stabilizing
CALR	0.809019821785779	0.0329917913117648	0.0242312462111807	0.0228896333188976	245	Pericyte_cg_vascular_stabilizing
CRTAM	0.814790567982059	0.0329113619362603	0.0241508168356763	0.0882517280972404	246	Pericyte_cg_vascular_stabilizing
CADM1	0.800218221494817	0.03286751486635	0.024106969765766	0.0410056183687555	247	Pericyte_cg_vascular_stabilizing
WNT2	0.775534945747709	0.0324252365357945	0.0236646914352104	0.0614324493314679	248	Pericyte_cg_vascular_stabilizing
WNT7B	0.7877432260411	0.0318404955828998	0.0230799504823157	0.0427636830116132	249	Pericyte_cg_vascular_stabilizing
IGFBP4	0.717742619870275	0.0305615101402139	0.0218009650396299	0.0857891197844172	250	Pericyte_cg_vascular_stabilizing
BDNF	0.816875795599201	0.0301159646265403	0.0213554195259562	0.078879245924241	251	Pericyte_cg_vascular_stabilizing
FURIN	0.789428380917742	0.0299801182651712	0.0212195731645871	0.0217919961666215	252	Pericyte_cg_vascular_stabilizing
CADM3	0.77113414560223	0.0289205184782285	0.0201599733776445	0.0906324235875324	253	Pericyte_cg_vascular_stabilizing
SCGB3A1	0.762053706734554	0.0279706777493706	0.0192101326487866	0.0906884076591701	254	Pericyte_cg_vascular_stabilizing
PDGFB	0.791937928108141	0.0274068580296413	0.0186463129290572	0.0666290673710201	255	Pericyte_cg_vascular_stabilizing
SIGLEC6	0.758040855913194	0.0272972503783281	0.0185367052777441	0.0863655839500586	256	Pericyte_cg_vascular_stabilizing
LTB	0.751882160392799	0.0272091956002278	0.0184486504996437	0.015052065510492	257	Pericyte_cg_vascular_stabilizing
WNT2B	0.721694853609745	0.0267271405291461	0.0179665954285621	0.0379880731020913	258	Pericyte_cg_vascular_stabilizing
CXCL8	0.768539734497179	0.0266824123688621	0.0179218672682781	0.0160859118041846	259	Pericyte_cg_vascular_stabilizing
IGF1	0.783257561980969	0.0254269161855703	0.0166663710849862	0.0547558077812113	260	Pericyte_cg_vascular_stabilizing
MMRN2	0.638613081166273	0.0238619345089773	0.0151013894083932	0.0608918577464147	261	Pericyte_cg_vascular_stabilizing
ANOS1	0.720615869552038	0.0237308233378168	0.0149702782372328	0.0724607433217537	262	Pericyte_cg_vascular_stabilizing
PDGFA	0.740183063587321	0.0236972734341716	0.0149367283335876	0.0442934753332639	263	Pericyte_cg_vascular_stabilizing
CSF2	0.735115475541004	0.02353632064131	0.014775775540726	0.0347263965087029	264	Pericyte_cg_vascular_stabilizing
