gene	value_type	with_depth	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	study_dominated	n_units	n_donors	p_BH_across_genes
LAMC1	expr	FALSE	Pericytes - AT2_AGTR2det	0.523483027777424	0.105574983513991	2155.14879300055	-4.95840027962732	1.14937509591199e-06	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	1.56821517323585e-06
LAMC1	expr	FALSE	Pericytes - AT2_AGTR2undet	0.32148403901244	0.095866936959904	2156.46885233222	-3.35344018706782	0.001002982765312	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	0.00121718762725049
LAMC1	expr	FALSE	Pericytes - Adventitial fibroblasts	-0.697497654996496	0.101510853613218	2152.83679296102	6.87116333051573	1.4538252735455e-11	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	2.14084636317829e-11
LAMC1	expr	FALSE	Pericytes - Alveolar fibroblasts	-1.39700401553415	0.100492094181197	2141.14570637149	13.9016310379126	2.07843579546499e-41	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	4.5424637520796e-41
LAMC1	expr	FALSE	Pericytes - Alveolar macrophages	1.17323075943237	0.0938529763742077	2168.04716773414	-12.5007304483824	3.93856592180473e-34	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	7.89347444079536e-34
LAMC1	expr	FALSE	Pericytes - Classical monocytes	1.22298882748287	0.0939414596175069	2162.10644393661	-13.0186270520216	9.8305198604909e-37	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	2.04661253992117e-36
LAMC1	expr	FALSE	Pericytes - DC2	1.30587549387616	0.092793773652625	2164.82755202906	-14.0728784106219	2.91846638104472e-42	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	6.43661763490685e-42
LAMC1	expr	FALSE	Pericytes - EC aerocyte capillary	1.29929208769945	0.104708473111412	2134.29370159858	-12.4086623469045	1.03142525764914e-33	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	2.05011687014212e-33
LAMC1	expr	FALSE	Pericytes - EC general capillary	0.776731200382396	0.0978922266355546	2145.74435915205	-7.93455442865865	7.07902273491975e-15	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	1.08201518385008e-14
LAMC1	expr	FALSE	Pericytes - EC venous pulmonary	0.632321340534914	0.101395683385009	2153.36385997503	-6.23617613122571	8.6922870687642e-10	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	1.24580850273386e-09
LAMC1	expr	FALSE	Pericytes - EC venous systemic	-0.133584920224791	0.10358821648798	2159.38351923474	1.28957640891802	0.218108069888326	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	0.235147762848351
LAMC1	expr	FALSE	Pericytes - Interstitial macrophages	1.15530166172875	0.0938653941848695	2170.17274556875	-12.3080680772869	2.78413707811093e-33	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	5.5112221669163e-33
LAMC1	expr	FALSE	Pericytes - Lymphatic EC	-0.421871390313975	0.0984865308702171	2146.82045765929	4.28354401953609	2.52068524874372e-05	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	3.24664260038191e-05
LAMC1	expr	FALSE	Pericytes - Mast cells	1.37102760722758	0.0973935190684494	2170.87714264821	-14.0771954883775	2.91846638104472e-42	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	6.43661763490685e-42
LAMC1	expr	FALSE	Pericytes - Myofibroblasts	-0.172872908820641	0.129242489512639	2136.11148092459	1.33758572333703	0.211369566530998	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	0.228392618869065
LAMC1	expr	FALSE	Pericytes - (Non-classical monocytes)	1.38730677892288	0.0956150547196821	2156.5121878864	-14.5092923179315	2.90306323316445e-44	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	6.61405444159636e-44
LAMC1	expr	FALSE	Pericytes - Peribronchial fibroblasts	-0.806865473667384	0.112504711436504	2162.49259083061	7.17183719121634	1.93137340704495e-12	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	2.87031801723911e-12
LAMC1	expr	FALSE	Pericytes - Subpleural fibroblasts	-0.0512012102722524	0.221498216075253	2174.79299885183	0.231158567231336	0.817213361433992	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	0.832730070828308
LAMC1	expr	FALSE	Pericytes - (Transitional Club-AT2)	1.01139601375172	0.0983456623787524	2161.76869479916	-10.2840937697546	6.95231438646792e-24	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	1.17002364064948e-23
LAMC1	expr	FALSE	Pericytes - Vascular smooth muscle	-0.497668175718736	0.103890716827125	2149.78298487168	4.79030457116644	2.49052367731046e-06	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	3.35076026780209e-06
NID1	expr	FALSE	Pericytes - AT1	3.38245685968715	0.093157258725936	2162.38002034489	-36.3091068366252	2.92018732613649e-225	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	2.16992381311373e-224
NID1	expr	FALSE	Pericytes - AT2_AGTR2det	3.37565260843547	0.100753478087697	2166.67309724669	-33.5040801817012	2.42230524359738e-198	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	1.40960654537052e-197
NID1	expr	FALSE	Pericytes - AT2_AGTR2undet	3.36588233324204	0.0914894559672158	2167.31486627917	-36.7898387596508	1.29974150766774e-229	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	1.14140936037004e-228
NID1	expr	FALSE	Pericytes - Adventitial fibroblasts	1.40435798134718	0.0968840060295848	2163.08506864274	-14.4952509593621	1.81566872152065e-45	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	4.21619227160804e-45
NID1	expr	FALSE	Pericytes - Alveolar fibroblasts	1.15727845314575	0.0959343682240583	2151.33889443796	-12.063231087767	1.79872682181071e-32	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	3.51734840054482e-32
NID1	expr	FALSE	Pericytes - Alveolar macrophages	3.2510038640996	0.0895250964325837	2177.63797685735	-36.3138828512489	1.50119974963794e-225	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	1.15091980805575e-224
NID1	expr	FALSE	Pericytes - Classical monocytes	3.11384779688246	0.0896192151483663	2171.01110980394	-34.7453142914433	2.67123922761186e-210	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	1.74352506342774e-209
NID1	expr	FALSE	Pericytes - DC2	3.33913979219201	0.0884849369470955	2172.63305238004	-37.7368160886916	8.75779210871388e-239	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	9.83724090350885e-238
NID1	expr	FALSE	Pericytes - EC aerocyte capillary	3.25349058375435	0.0999752941926359	2142.77100998562	-32.5429458350521	7.0437271330871e-189	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	4.0024943591542e-188
NID1	expr	FALSE	Pericytes - EC general capillary	3.14350997291002	0.0934440378008815	2156.24933977601	-33.6405622754495	1.97425599385273e-199	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	1.16288493296448e-198
NID1	expr	FALSE	Pericytes - EC venous pulmonary	2.53703045573595	0.0967729146718425	2164.79490261356	-26.2163278262212	1.27425765495658e-131	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	5.64648116829385e-131
NID1	expr	FALSE	Pericytes - EC venous systemic	2.80593370927715	0.0988327466990467	2168.82053346939	-28.3907288119942	7.91396430471044e-151	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	3.78459877146054e-150
NID1	expr	FALSE	Pericytes - Interstitial macrophages	3.27850476519301	0.0895353162641178	2179.57991873015	-36.6168893123898	2.371602950072e-228	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	1.94149868624538e-227
NID1	expr	FALSE	Pericytes - Lymphatic EC	1.74511404913344	0.0940099852120063	2156.76164355743	-18.5630712014043	2.46930800529248e-71	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	8.4586933798317e-71
NID1	expr	FALSE	Pericytes - Mast cells	3.37345241432233	0.0928952804691619	2181.13585403179	-36.314572681033	1.50119974963794e-225	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	1.15091980805575e-224
NID1	expr	FALSE	Pericytes - Myofibroblasts	2.06697868671327	0.12339543160512	2146.09175368805	-16.7508526031	3.61658651200439e-59	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	1.10557676284691e-58
NID1	expr	FALSE	Pericytes - (Non-classical monocytes)	3.05528775538868	0.0912461986882842	2167.1514737319	-33.4840004220469	3.36928045698542e-198	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	1.93733626276662e-197
NID1	expr	FALSE	Pericytes - Peribronchial fibroblasts	1.58654366334839	0.107328289997189	2171.74025163838	-14.7821572801536	4.04378295227349e-47	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	9.81480987913617e-47
NID1	expr	FALSE	Pericytes - Subpleural fibroblasts	2.62169833806201	0.211275118034798	2191.97052577299	-12.408930888067	3.36368063609096e-34	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	6.76940728013305e-34
NID1	expr	FALSE	Pericytes - (Transitional Club-AT2)	3.38780139109451	0.0938418004330082	2173.93937962901	-36.1011977121324	1.56952940339818e-223	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	1.13146671916615e-222
NID1	expr	FALSE	Pericytes - Vascular smooth muscle	1.51491062975663	0.0991539639367514	2159.64703709074	-15.2783667904892	4.99319990068034e-50	2.38004582415029e-17	0.54366989075695	FALSE	2329	220	1.30363002812357e-49
NID2	expr	FALSE	Pericytes - AT1	2.04761488025591	0.134547227995074	2210.19412838606	-15.218558648647	2.14023905217175e-49	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	5.41222755077987e-49
NID2	expr	FALSE	Pericytes - AT2_AGTR2det	2.1102698792839	0.145446493473011	2215.56275415562	-14.5089085951424	2.58213022709457e-45	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	5.9388995223175e-45
NID2	expr	FALSE	Pericytes - AT2_AGTR2undet	2.03808310268042	0.132087523937238	2212.71871543131	-15.4297926248419	1.5012878643098e-50	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	4.00619910752284e-50
