gene	value_type	block	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	n_units	n_donors	is_pericyte_contrast	study_dominated	p_BH
LAMC3	expr	basement_membrane	Fibroblasts - Ambient reference	0.0902807658711757	0.0105057927239963	996.865594306139	8.59342728749689	3.22098830668107e-17	0.0228563334289478	0.149418743500499	1054	200	FALSE	FALSE	6.13521582224966e-17
LAMC3	expr	basement_membrane	Pericytes - Ambient reference	1.95277524375991	0.0225625083912788	995.249051297008	86.5495631024217	0	0.0228563334289478	0.149418743500499	1054	200	TRUE	FALSE	0
NID1	expr	basement_membrane	Fibroblasts - Ambient reference	0.886693974345024	0.0244796986338954	970.363442005822	36.2216049962836	4.05436353905024e-182	0.135790160046606	0.343539599627713	1054	200	FALSE	FALSE	5.40581805206699e-181
NID1	expr	basement_membrane	Pericytes - Ambient reference	1.70543512466261	0.0524784208337877	961.450427531758	32.4978362070794	6.38703657481615e-157	0.135790160046606	0.343539599627713	1054	200	TRUE	FALSE	5.10962925985292e-156
NID2	expr	basement_membrane	Fibroblasts - Ambient reference	0.23363634293057	0.0152045100919752	982.544382484596	15.3662526130244	1.29210702209534e-47	0.0380984872001026	0.214809825772042	1054	200	FALSE	FALSE	4.69857098943761e-47
NID2	expr	basement_membrane	Pericytes - Ambient reference	0.393293592120622	0.032633841506297	975.591049256162	12.0517099418017	2.79704910270965e-31	0.0380984872001026	0.214809825772042	1054	200	TRUE	FALSE	6.99262275677412e-31
HSPG2	expr	basement_membrane	Fibroblasts - Ambient reference	0.264940041246738	0.0480791540485891	991.146104361165	5.51049714766171	9.12331627019686e-08	0.201869337172914	0.680260410012016	1054	200	FALSE	FALSE	1.4597306032315e-07
HSPG2	expr	basement_membrane	Pericytes - Ambient reference	0.130431678448134	0.1031667550919	988.206190001419	1.26428012911667	0.206427608968448	0.201869337172914	0.680260410012016	1054	200	TRUE	FALSE	0.250215283598118
AGRN	expr	basement_membrane	Fibroblasts - Ambient reference	-0.161711185131823	0.0172506066156716	952.64933375182	-9.37423180150162	9.83265207028982e-20	0.101955887598954	0.240679113525678	1054	200	FALSE	FALSE	2.18503379339774e-19
AGRN	expr	basement_membrane	Pericytes - Ambient reference	0.0577188975567193	0.036945719839908	940.094194775764	1.5622620917071	0.118562806492514	0.101955887598954	0.240679113525678	1054	200	TRUE	FALSE	0.14988251982613
COL1A1	detect	fibrillar_core	Fibroblasts - Ambient reference	0.581234238799927	0.009201015133417	937.772836838831	63.1706643638649	0	0.0499415656787905	0.127810553957366	1054	200	FALSE	FALSE	0
COL1A1	detect	fibrillar_core	Pericytes - Ambient reference	0.0733520585740264	0.0196865105781672	923.437645654518	3.72600610366041	0.000206351533721517	0.0499415656787905	0.127810553957366	1054	200	TRUE	FALSE	0.000206351533721517
COL1A2	detect	fibrillar_core	Fibroblasts - Ambient reference	0.782895541367643	0.00803834376560814	941.095887814157	97.3951306632646	0	0.02988277152844	0.111837606224769	1054	200	FALSE	FALSE	0
COL1A2	detect	fibrillar_core	Pericytes - Ambient reference	0.533170253160868	0.0172037373037723	926.447268051842	30.9915365333995	2.87973436499466e-145	0.02988277152844	0.111837606224769	1054	200	TRUE	FALSE	4.319601547492e-145
COL3A1	detect	fibrillar_core	Fibroblasts - Ambient reference	0.603858776181668	0.00917115802118858	932.915208865164	65.8432419097505	0	0.0552605271251806	0.127202126547772	1054	200	FALSE	FALSE	0
COL3A1	detect	fibrillar_core	Pericytes - Ambient reference	0.161925281156481	0.0196159393287391	918.655692177186	8.25478089235552	5.2584205987759e-16	0.0552605271251806	0.127202126547772	1054	200	TRUE	FALSE	6.31010471853107e-16
COL5A1	detect	fibrillar_minor	Fibroblasts - Ambient reference	0.334750396918179	0.0085852055309861	960.184693507809	38.9915414034041	8.49169119824247e-200	0.0522313481018234	0.12006272331935	1054	200	FALSE	FALSE	4.24584559912124e-199
COL5A1	detect	fibrillar_minor	Pericytes - Ambient reference	0.127035756061831	0.0183947326900747	949.191842990455	6.90609416305226	9.11442193263136e-12	0.0522313481018234	0.12006272331935	1054	200	TRUE	FALSE	1.51907032210523e-11
COL5A2	detect	fibrillar_minor	Fibroblasts - Ambient reference	0.4136701927856	0.00914862574744086	965.523404239604	45.2166482929216	2.51165544243209e-240	0.0584175323557528	0.128161351515253	1054	200	FALSE	FALSE	2.51165544243209e-239
COL5A2	detect	fibrillar_minor	Pericytes - Ambient reference	0.334843635258405	0.0196067735048364	956.101241930413	17.0779570221388	2.82125960307586e-57	0.0584175323557528	0.128161351515253	1054	200	TRUE	FALSE	5.64251920615173e-57
COL5A3	detect	fibrillar_minor	Fibroblasts - Ambient reference	0.0941395012688497	0.00497706727014364	984.206157877215	18.9146531801112	2.66761847960123e-68	0.0198430900859957	0.070241542654191	1054	200	FALSE	FALSE	6.66904619900307e-68
