ccc_group	emmean	SE	df	lower.CL	upper.CL	gene	value_type
Pericytes	1.67470480654778	0.0466920921312058	801.952782646842	1.58305166172468	1.76635795137087	COL18A1	expr
AT1	0.183533196737622	0.0321690974406739	243.36428995953	0.120167806997547	0.246898586477698	COL18A1	expr
AT2_AGTR2det	-0.021502808709645	0.0400329105568482	457.155939467235	-0.100174151899042	0.0571685344797518	COL18A1	expr
AT2_AGTR2undet	0.0304993846494407	0.0307588751541624	206.191388602369	-0.030142840609507	0.0911416099083883	COL18A1	expr
Adventitial fibroblasts	0.584497834431084	0.0352119513255207	339.047665090646	0.51523643779945	0.653759231062718	COL18A1	expr
Alveolar fibroblasts	0.675727067762547	0.0347752577094276	318.353087538427	0.60730870913302	0.744145426392074	COL18A1	expr
Alveolar macrophages	0.0338108947886201	0.0290291982023428	159.963625488089	-0.0235190133662192	0.0911408029434594	COL18A1	expr
Classical monocytes	0.106919713120745	0.0285153969248584	158.655700942714	0.0506009749713057	0.163238451270185	COL18A1	expr
DC2	0.0885463733779016	0.0268107673898009	125.28481850269	0.0354857162136919	0.141607030542111	COL18A1	expr
EC aerocyte capillary	0.617480382868535	0.0391095560975704	449.417668572103	0.540620072292159	0.694340693444911	COL18A1	expr
EC general capillary	0.796191307903214	0.0335788513025554	259.569684489727	0.730069671734572	0.862312944071856	COL18A1	expr
EC venous pulmonary	0.687411768468835	0.0351273746651877	332.416467344704	0.61831179503974	0.75651174189793	COL18A1	expr
EC venous systemic	0.876519597267558	0.0365602341571615	382.59827699068	0.804635459510826	0.948403735024289	COL18A1	expr
Interstitial macrophages	0.0507963208923748	0.0280753973202105	153.697456258223	-0.00466715584452273	0.106259797629272	COL18A1	expr
Lymphatic EC	0.635584874123995	0.0328071963361793	260.613233275803	0.570983950316154	0.700185797931835	COL18A1	expr
Mast cells	0.567825938805769	0.0317872134543727	238.951480482883	0.50520698971043	0.630444887901107	COL18A1	expr
Myofibroblasts	0.236643030382084	0.0551926223156077	1228.685602991	0.128360812616906	0.344925248147262	COL18A1	expr
Non-classical monocytes	0.0645218891562173	0.0301094208717259	190.259862390851	0.00513072787865742	0.123913050433777	COL18A1	expr
Peribronchial fibroblasts	1.10677164091894	0.0432757223844353	658.322203824456	1.02179655687661	1.19174672496127	COL18A1	expr
Subpleural fibroblasts	0.875786322642814	0.108608765565889	2185.30717693589	0.662799088717421	1.08877355656821	COL18A1	expr
Transitional Club-AT2	0.136561677340562	0.0331668053610913	261.483596847094	0.0712536585232996	0.201869696157824	COL18A1	expr
Vascular smooth muscle	1.22725475626656	0.0373678862215309	406.442659586516	1.15379630123001	1.3007132113031	COL18A1	expr
Pericytes	0.0551785170761304	0.0472535632702621	69.2067543255884	-0.0390847383513849	0.149441772503646	LAMA3	expr
AT1	1.656176496834	0.0411836012468423	40.1401750214506	1.57295038735569	1.73940260631231	LAMA3	expr
AT2_AGTR2det	0.362790192866569	0.0443978398433791	53.8287721606941	0.273771398190298	0.451808987542841	LAMA3	expr
AT2_AGTR2undet	0.529483120529005	0.0405848468883133	38.0491884468591	0.447326881187565	0.611639359870446	LAMA3	expr
Adventitial fibroblasts	0.171537331986323	0.0423163255874905	44.6924318461856	0.0862916854001523	0.256782978572493	LAMA3	expr
Alveolar fibroblasts	0.0990246043022562	0.0421732187645408	44.1064448583214	0.0140358598741813	0.184013348730331	LAMA3	expr
Alveolar macrophages	0.0374684473549202	0.0401009709553779	36.0008505525329	-0.0438600245554945	0.118796919265335	LAMA3	expr
Classical monocytes	0.0563689353583248	0.0398807292427988	35.3303970481051	-0.0245661927730859	0.137304063489736	LAMA3	expr
DC2	0.04049918156345	0.0393344893640703	33.3902365084273	-0.0394919232962761	0.120490286423176	LAMA3	expr
EC aerocyte capillary	0.064222523923614	0.0439752123901341	52.0069478744482	-0.0240199149163571	0.152464962763585	LAMA3	expr
EC general capillary	0.0498676529881493	0.0418035684493434	42.5160038609023	-0.0344650400784669	0.134200346054765	LAMA3	expr
EC venous pulmonary	0.112379102088301	0.042299510277527	44.6413578647304	0.0271646198337477	0.197593584342855	LAMA3	expr
EC venous systemic	0.246874955937747	0.0428615707641952	47.021243484963	0.16064962586369	0.333100286011803	LAMA3	expr
Interstitial macrophages	0.0456167344880406	0.0397097315113372	34.7093912622642	-0.0350224410636101	0.126255910039691	LAMA3	expr
Lymphatic EC	0.139901810557583	0.0414186413649486	41.0528116597172	0.0562584351626518	0.223545185952515	LAMA3	expr
Mast cells	0.0808307642055292	0.041025507065732	39.5371780167816	-0.00211512396883595	0.163776652379894	LAMA3	expr
Myofibroblasts	0.0721616139108641	0.0512924880332268	95.6415186058211	-0.0296580406041055	0.173981268425834	LAMA3	expr
Non-classical monocytes	0.0475135685803188	0.0404503113626785	37.3406344313782	-0.0344213174813338	0.129448454641971	LAMA3	expr
Peribronchial fibroblasts	0.0765068672183001	0.0456788890878388	60.5231374145921	-0.0148482738878038	0.167862008324404	LAMA3	expr
Subpleural fibroblasts	0.182615366716232	0.0818060866422056	529.76077818968	0.0219112310020815	0.343319502430383	LAMA3	expr
Transitional Club-AT2	0.145587939298615	0.0414883314125411	41.6081392712006	0.0618377292777977	0.229338149319432	LAMA3	expr
Vascular smooth muscle	0.167074883687731	0.043205545438489	48.537515758372	0.0802291584927159	0.253920608882747	LAMA3	expr
Pericytes	1.21568766204261	0.0444448895969449	223.938318795815	1.12810394440502	1.3032713796802	LAMA4	expr
AT1	0.0446879747791968	0.033982880875342	80.6201591042476	-0.0229321281434132	0.112308077701807	LAMA4	expr
AT2_AGTR2det	0.00769480765737746	0.0396471375714257	142.773172010482	-0.0706764423558344	0.0860660576705893	LAMA4	expr
AT2_AGTR2undet	0.00691644810216591	0.0329778710800712	72.8120068339822	-0.0588112131528619	0.0726441093571937	LAMA4	expr
Adventitial fibroblasts	1.06957960260208	0.0360373400411912	101.732782637689	0.998097455871047	1.1410617493331	LAMA4	expr
