compartment	gene	contrast	estimate	SE	df	t.ratio	p.value	n_donors	covariates	family	is_copd_contrast	p_BH
Endothelial	LAMC2	Control - COPD	0.00609821137121936	0.0271148064207153	66	0.224903371117575	0.822749325333675	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.96972550468785
Endothelial	LAMC2	Control - IPF	0.0116622336413097	0.025872055145911	66	0.450765645617949	0.653635902657528	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	LAMC3	Control - COPD	0.0236442976277041	0.0210987135011243	66	1.12065115375135	0.26649762104765	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.699556255250081
Endothelial	LAMC3	Control - IPF	0.0217043599146026	0.0201316974474813	66	1.07811872154467	0.284905439546497	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	NID1	Control - COPD	-0.0967637805996196	0.102175904031787	66	-0.947031313464242	0.347077395857695	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.780924140679815
Endothelial	NID1	Control - IPF	0.124351616736341	0.0974928820319403	66	1.27549431450391	0.206605568116687	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	NID2	Control - COPD	0.0118753391156215	0.0189421692933059	66	0.62692603638688	0.532870445328469	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.894694832238846
Endothelial	NID2	Control - IPF	0.0244871532692522	0.0180739939992779	66	1.35482800703766	0.180091902154345	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	HSPG2	Control - COPD	0.024413149115031	0.129766210475838	66	0.188131787354434	0.851350586274496	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.96972550468785
Endothelial	HSPG2	Control - IPF	-0.579233054199611	0.123818643637515	66	-4.67807623458825	1.4816362938053e-05	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	AGRN	Control - COPD	-0.030483853208273	0.0496915618280507	66	-0.613461362187754	0.541679838109069	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.894694832238846
Endothelial	AGRN	Control - IPF	-0.0390446286607061	0.0474140514947425	66	-0.823482225834162	0.413199571425356	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	COL4A1	Control - COPD	-0.267536194097205	0.151889996776582	53	-1.76138126127378	0.0839417205132477	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.563946782731568
Fibroblast	COL4A1	Control - IPF	-0.415835579338722	0.12731897640003	53	-3.26609269958459	0.00191498190276166	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	COL4A2	Control - COPD	-0.317619835501235	0.150097884592031	53	-2.11608468943137	0.0390522983640907	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.491149322597627
Fibroblast	COL4A2	Control - IPF	-0.359784309501831	0.125816771555912	53	-2.85958942557946	0.00605425500320792	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	COL15A1	Control - COPD	-0.132150667494743	0.091507841909903	53	-1.44414582112925	0.154583816291759	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.628975997111247
Fibroblast	COL15A1	Control - IPF	-0.188491061736089	0.0767047535176519	53	-2.45735828735454	0.0173020111518319	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	COL18A1	Control - COPD	-0.0731891416520287	0.0961780278965315	53	-0.760975695309179	0.450044153687569	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.846351692009458
Fibroblast	COL18A1	Control - IPF	-0.261247196284738	0.0806194504169475	53	-3.24049835286175	0.00206398272868903	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	LAMA1	Control - COPD	-0.0586597454536739	0.0391315525600339	53	-1.49903956311676	0.139796658054627	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.628975997111247
Fibroblast	LAMA1	Control - IPF	-0.0693036578504892	0.0328012991152796	53	-2.11283271454959	0.0393422894656218	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	LAMA2	Control - COPD	0.360033080152697	0.214282361010826	53	1.68018066654823	0.0988078999430483	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.59284739965829
Fibroblast	LAMA2	Control - IPF	0.235929022067658	0.179618220050463	53	1.31350272818301	0.194671518843987	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	LAMA3	Control - COPD	-0.0395557138341172	0.0627885295178649	53	-0.629983121723891	0.531412385863557	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.894694832238846
Fibroblast	LAMA3	Control - IPF	-0.0595620503951057	0.0526313218614156	53	-1.13168448537051	0.26286163858564	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	LAMA5	Control - COPD	0.00819093074680133	0.0151520025216144	53	0.540584040632051	0.59105903167531	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.908212658427915
Fibroblast	LAMA5	Control - IPF	-0.000913670841105758	0.0127008854592329	53	-0.0719375703401502	0.942922375834769	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	LAMB2	Control - COPD	0.0221390186599005	0.123586347378318	53	0.179138061198049	0.858512372601058	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.96972550468785
Fibroblast	LAMB2	Control - IPF	-0.187008013178549	0.103593966549165	53	-1.80520178354013	0.0767247252116895	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	LAMB3	Control - COPD	-0.0157585240374777	0.0163142033462137	53	-0.965938924693803	0.338461826241607	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.780924140679815
Fibroblast	LAMB3	Control - IPF	-0.00159616577229933	0.0136750787734701	53	-0.116720773513635	0.907522503858407	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	LAMB4	Control - COPD	0.0185081253985841	0.0107922145743279	53	1.71495157653839	0.0921962452840386	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.580836345289444
Fibroblast	LAMB4	Control - IPF	0.0145422030376609	0.00904637396703641	53	1.60751734237944	0.113882735317947	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	LAMC1	Control - COPD	0.298155411903444	0.143704834053629	53	2.07477649493806	0.0428781154648722	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.491149322597627
Fibroblast	LAMC1	Control - IPF	-0.0340518463488552	0.120457915358025	53	-0.282686664862548	0.778518154588512	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	LAMC2	Control - COPD	-0.0245902355598294	0.0508868104396949	53	-0.483233972562909	0.63091996271108	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.924291931154048
Fibroblast	LAMC2	Control - IPF	0.0260386989296465	0.0426549262949437	53	0.610449980609464	0.544172693735864	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	LAMC3	Control - COPD	0.0247049036379749	0.0257248230708428	53	0.960352713406066	0.341238642163541	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.780924140679815
Fibroblast	LAMC3	Control - IPF	0.0231276919735528	0.0215633564484779	53	1.07254601243608	0.288334324547307	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	NID1	Control - COPD	0.391908846094525	0.16347176199065	53	2.39741005615968	0.0200678830367275	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.491149322597627
Fibroblast	NID1	Control - IPF	0.203392600745306	0.137027176566297	53	1.48432307985927	0.143646654844029	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	NID2	Control - COPD	1.92963700990331e-05	0.0330054346443735	53	0.00058464220535034	0.999535718089592	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.999535718089592
Fibroblast	NID2	Control - IPF	0.0307571582903321	0.0276661942441204	53	1.1117234997679	0.271274710906194	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	HSPG2	Control - COPD	0.0271455976330712	0.137465621163226	53	0.197471901726167	0.844213668347771	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.96972550468785
Fibroblast	HSPG2	Control - IPF	0.0518255705156274	0.115228010719102	53	0.449765384234269	0.65471377941121	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Fibroblast	AGRN	Control - COPD	0.0118466362542192	0.0214325639531177	53	0.552740039881973	0.582765307222565	60	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.906523811235101
Fibroblast	AGRN	Control - IPF	-0.01953864680933	0.0179654497468516	53	-1.08756791979305	0.281707123815655	60	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Mural	COL4A1	Control - COPD	-0.486058359064421	0.33785889603319	29	-1.4386430689594	0.160957672893469	36	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.628975997111247
Mural	COL4A1	Control - IPF	-0.571395122776707	0.274725367347276	29	-2.0798775456888	0.0464826052705634	36	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Mural	COL4A2	Control - COPD	-0.253672655531215	0.183515272376583	29	-1.38229724559745	0.177434903057858	36	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.628975997111247
Mural	COL4A2	Control - IPF	-0.453004232656203	0.14922294842442	29	-3.03575446966621	0.00502881393362633	36	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
