sample	Pattern_1	Pattern_2	Pattern_3	Pattern_4	Pattern_5	cell_type	donor_id	disease_group	n_cells
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D7	0.512133308391105	0.332528669894411	-0.536042448859893	0.814419650130191	1.18605545235703	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D7	Other	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D8	0.314460011486606	0.603759907544526	0.0847063775830817	0.841874532755522	0.144550551670429	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D8	Other	125
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD046Q	0.318654795110483	1.34980819436751	0.0636742145846295	1.9485752504849	-0.365610758876206	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD046Q	Healthy	73
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD047Q	0.400233985879565	1.76046120361637	-0.319345417937287	1.90357464832119	-0.294310489349798	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD047Q	Healthy	151
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD073R	0.321607371256511	1.18901770668113	0.187277220762849	2.15407639338723	-0.408413314319177	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD073R	Healthy	116
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_01	0.236053635507787	1.45795980141717	0.157146983306915	1.69268058878211	-0.427667361395436	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_01	Healthy	51
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_02	0.291339029897217	1.44339110185213	-0.0363635502509357	1.82624985693275	-0.411436529964085	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_02	Healthy	118
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_03	0.295672287994418	1.43236942592362	0.213466871019845	1.39061119174587	-0.417538075816174	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_03	Healthy	73
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_04	0.254351696913723	2.15796213220731	-0.129371461355814	1.38514700370274	-0.336466843040986	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_04	Healthy	50
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_05	0.37020366337274	1.47651032675972	0.0848709214391205	1.61796446675885	-0.55409658891471	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_05	Healthy	56
