pattern	program	cell_type	term	estimate	se	p	n
Pattern_6	Pattern_6 (fibroblast_like)	EC aerocyte capillary	disease_groupOther	0.114732891443778	0.220770143647893	0.604437014111732	103
Pattern_6	Pattern_6 (fibroblast_like)	EC general capillary	disease_groupFibrotic_ILD	0.875332125524621	0.152479310599496	4.78037151560917e-08	160
Pattern_6	Pattern_6 (fibroblast_like)	EC general capillary	disease_groupHealthy	0.449526206612739	0.14051298392886	0.00166952902545012	160
Pattern_6	Pattern_6 (fibroblast_like)	EC general capillary	disease_groupOther	0.338825129802942	0.155743209120303	0.0310951690908908	160
Pattern_6	Pattern_6 (fibroblast_like)	EC venous pulmonary	disease_groupHealthy	-0.298451090198191	0.122969199803166	0.0168025633411326	116
Pattern_6	Pattern_6 (fibroblast_like)	EC venous pulmonary	disease_groupOther	-0.278084194069153	0.183157551742145	0.131737058769334	116
Pattern_6	Pattern_6 (fibroblast_like)	EC venous systemic	disease_groupFibrotic_ILD	0.374990917650561	0.470086936101707	0.426373369825488	146
Pattern_6	Pattern_6 (fibroblast_like)	EC venous systemic	disease_groupHealthy	0.479488437132534	0.469440768186511	0.308800295024524	146
Pattern_6	Pattern_6 (fibroblast_like)	EC venous systemic	disease_groupOther	0.353258540092469	0.475096885093445	0.458376937350228	146
Pattern_6	Pattern_6 (fibroblast_like)	Interstitial macrophages	disease_groupFibrotic_ILD	0.312240942879702	0.0854928095014714	0.000303742084476147	323
Pattern_6	Pattern_6 (fibroblast_like)	Interstitial macrophages	disease_groupHealthy	0.25041233361828	0.0810963040216393	0.00219323115411697	323
Pattern_6	Pattern_6 (fibroblast_like)	Interstitial macrophages	disease_groupOther	0.308730062392636	0.084603778657628	0.00030730317026973	323
Pattern_6	Pattern_6 (fibroblast_like)	Lymphatic EC	disease_groupFibrotic_ILD	0.428174036360234	0.168061746310219	0.0117793958815434	165
Pattern_6	Pattern_6 (fibroblast_like)	Lymphatic EC	disease_groupHealthy	0.333616725008056	0.158948163035536	0.0373857530765808	165
Pattern_6	Pattern_6 (fibroblast_like)	Lymphatic EC	disease_groupOther	-0.0713610570164462	0.180247949999336	0.692699298461773	165
Pattern_6	Pattern_6 (fibroblast_like)	Mast cells	disease_groupFibrotic_ILD	0.178652016544853	0.078168678955723	0.0234073369527386	191
Pattern_6	Pattern_6 (fibroblast_like)	Mast cells	disease_groupHealthy	0.174236605703589	0.0734501148238454	0.0186990304098586	191
Pattern_6	Pattern_6 (fibroblast_like)	Mast cells	disease_groupOther	0.100187880555512	0.0794800810073053	0.209044944426432	191
Pattern_6	Pattern_6 (fibroblast_like)	Myofibroblasts	disease_groupHealthy	-0.856378131461354	0.208348549856567	0.000245736136227976	36
Pattern_6	Pattern_6 (fibroblast_like)	Myofibroblasts	disease_groupOther	-1.14534548634768	0.297016044332684	0.000505130025951767	36
Pattern_6	Pattern_6 (fibroblast_like)	Non-classical monocytes	disease_groupFibrotic_ILD	0.201496425113261	0.0840004076292139	0.0172700081986193	228
Pattern_6	Pattern_6 (fibroblast_like)	Non-classical monocytes	disease_groupHealthy	0.116360646604571	0.0793799332393862	0.144086087499113	228
Pattern_6	Pattern_6 (fibroblast_like)	Non-classical monocytes	disease_groupOther	0.201802634558245	0.0898861008740109	0.0257388852570586	228
Pattern_6	Pattern_6 (fibroblast_like)	Peribronchial fibroblasts	disease_groupHealthy	-0.133716051503694	0.123650004459939	0.282116835448959	103
Pattern_6	Pattern_6 (fibroblast_like)	Peribronchial fibroblasts	disease_groupOther	-0.382471607164409	0.139077796804368	0.00707302044140946	103
Pattern_6	Pattern_6 (fibroblast_like)	Pericytes	disease_groupFibrotic_ILD	1.36053895514756	0.704109960751304	0.056655479222286	89
Pattern_6	Pattern_6 (fibroblast_like)	Pericytes	disease_groupHealthy	-0.0834067423249527	0.698048643145909	0.905172622965811	89
Pattern_6	Pattern_6 (fibroblast_like)	Pericytes	disease_groupOther	0.257070268806683	0.705388998973061	0.716436340225406	89
