sample	cell_type	donor_id	disease_group	n_cells
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD006	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD006	Fibrotic_ILD	300
Alveolar fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D5	Alveolar fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D5	Other	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD103	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD103	Healthy	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747194CO	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747194CO	COPD	300
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139	Healthy	300
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD077	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD077	Healthy	44
Myofibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	Myofibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	Healthy	65
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747157I	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747157I	Fibrotic_ILD	300
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I	Fibrotic_ILD	133
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046	Healthy	300
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747063I	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747063I	Fibrotic_ILD	54
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747001C	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747001C	Healthy	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A47	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A47	Healthy	300
Adventitial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD94	Adventitial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD94	Healthy	300
