pattern	program	cell_type	term	estimate	se	p	n	reference_group	n_tests	p_BH	p_BH_all
Pattern_4	Pattern_4 (fibroblast_like)	Adventitial fibroblasts	disease_groupFibrotic_ILD	-0.0909421832616322	0.0744454938553431	0.223843492528927	149	Healthy	228	0.373072487548212	0.337988849646327
Pattern_3	Pattern_3 (inflammatory)	Peribronchial fibroblasts	disease_groupFibrotic_ILD	0.0850990206577566	0.0984260375141653	0.389328380629881	103	Healthy	228	0.389328380629881	0.531538148404868
Pattern_4	Pattern_4 (fibroblast_like)	Transitional Club-AT2	disease_groupOther	0.134783249845322	0.161926766848384	0.406479827668412	159	Healthy	228	0.406479827668412	0.54597293768752
Pattern_4	Pattern_4 (fibroblast_like)	Alveolar fibroblasts	disease_groupFibrotic_ILD	0.144705492813941	0.132607950153171	0.277033808198565	145	Healthy	228	0.426205858767023	0.394773176682955
Pattern_6	Pattern_6 (fibroblast_like)	Myofibroblasts	disease_groupOther	-0.191714019844932	0.211835939885482	0.37201937336139	36	Healthy	228	0.4376698510134	0.510966368231306
Pattern_1	Pattern_1 (inflammatory)	DC2	disease_groupFibrotic_ILD	0.149072757752255	0.105908820514585	0.160235792919964	323	Healthy	228	0.448027369049004	0.264737396998202
Pattern_1	Pattern_1 (inflammatory)	Lymphatic EC	disease_groupFibrotic_ILD	0.159045321848822	0.132132503522969	0.230479879211518	165	Healthy	228	0.448027369049004	0.342776197709823
Pattern_1	Pattern_1 (inflammatory)	Peribronchial fibroblasts	disease_groupFibrotic_ILD	0.273951995911752	0.202919270172983	0.180046506877595	103	Healthy	228	0.448027369049004	0.286506813194415
Pattern_1	Pattern_1 (inflammatory)	Transitional Club-AT2	disease_groupFibrotic_ILD	-0.145438307817037	0.125000797012689	0.246415052976952	159	Healthy	228	0.448027369049004	0.36246859405642
Pattern_1	Pattern_1 (inflammatory)	Vascular smooth muscle	disease_groupFibrotic_ILD	0.235343062086028	0.195730316282131	0.231524273891722	127	Healthy	228	0.448027369049004	0.342776197709823
Pattern_6	Pattern_6 (fibroblast_like)	EC venous systemic	disease_groupOther	-0.0817933795642421	0.0983680068263971	0.407085085117888	146	Healthy	228	0.452316761242098	0.54597293768752
Pattern_3	Pattern_3 (inflammatory)	Transitional Club-AT2	disease_groupCOPD	-0.10910987933088	0.141277817635869	0.441108472224917	159	Healthy	228	0.468677751738974	0.568207523543961
Pattern_3	Pattern_3 (inflammatory)	Interstitial macrophages	disease_groupOther	0.0310341222516263	0.0376309635965586	0.410160176597979	323	Healthy	228	0.482541384232917	0.546880235463972
Pattern_1	Pattern_1 (inflammatory)	EC venous systemic	disease_groupFibrotic_ILD	-0.149375042384985	0.146237704218681	0.308776603868493	146	Healthy	228	0.514627673114155	0.43457447951862
Pattern_1	Pattern_1 (inflammatory)	EC venous systemic	disease_groupOther	0.130663565560202	0.1878457322459	0.487822599611915	146	Healthy	228	0.542025110679905	0.607778976565665
Pattern_6	Pattern_6 (fibroblast_like)	Adventitial fibroblasts	disease_groupCOPD	-0.227786763661517	0.179089341712735	0.205438790600882	149	Healthy	228	0.582076573369165	0.314362713134235
Pattern_4	Pattern_4 (fibroblast_like)	EC venous pulmonary	disease_groupFibrotic_ILD	0.0808094202788764	0.10532295713981	0.444530888969082	116	Healthy	228	0.592707851958776	0.569399116207588
Pattern_4	Pattern_4 (fibroblast_like)	Pericytes	disease_groupFibrotic_ILD	0.138379921022616	0.176090871010724	0.434144190870072	89	Healthy	228	0.592707851958776	0.565627860105009
Pattern_6	Pattern_6 (fibroblast_like)	AT1	disease_groupCOPD	-0.0972226805880504	0.0930213441035704	0.297457051858287	171	Healthy	228	0.599928407984041	0.421243526855214
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar macrophages	disease_groupCOPD	-0.117803956432975	0.102233494687787	0.250075931938054	317	Healthy	228	0.599928407984041	0.36549559283254
Pattern_6	Pattern_6 (fibroblast_like)	Classical monocytes	disease_groupCOPD	-0.0872830456064962	0.0871947716222285	0.317609157168022	311	Healthy	228	0.599928407984041	0.444263115547908
Pattern_1	Pattern_1 (inflammatory)	Adventitial fibroblasts	disease_groupFibrotic_ILD	0.117182667948461	0.143295338268548	0.414830132237761	149	Healthy	228	0.623758711629725	0.549891105524474
Pattern_1	Pattern_1 (inflammatory)	Mast cells	disease_groupFibrotic_ILD	0.135857205212042	0.174272574946255	0.436631098140807	191	Healthy	228	0.623758711629725	0.565635740773319
Pattern_1	Pattern_1 (inflammatory)	Mast cells	disease_groupOther	0.095573841597695	0.183493597761613	0.603082910838455	191	Healthy	228	0.634824116672058	0.727528590852739
Pattern_3	Pattern_3 (inflammatory)	AT2	disease_groupCOPD	-0.0555162454136925	0.117246531972971	0.636301667163492	236	Healthy	228	0.636301667163492	0.759564293786787
Pattern_1	Pattern_1 (inflammatory)	Adventitial fibroblasts	disease_groupCOPD	0.356864314854418	0.250913654464862	0.157098539279704	149	Healthy	228	0.643141615021564	0.261448663910749
Pattern_1	Pattern_1 (inflammatory)	Alveolar fibroblasts	disease_groupCOPD	0.439481873876634	0.325612007054084	0.179271898618275	145	Healthy	228	0.643141615021564	0.286506813194415
Pattern_1	Pattern_1 (inflammatory)	EC venous systemic	disease_groupCOPD	-1.0259560331289	0.804307373202746	0.204187837245557	146	Healthy	228	0.643141615021564	0.314362713134235
Pattern_1	Pattern_1 (inflammatory)	Lymphatic EC	disease_groupCOPD	0.296186987489755	0.244221906826584	0.226991158242905	165	Healthy	228	0.643141615021564	0.340486737364357
Pattern_1	Pattern_1 (inflammatory)	Classical monocytes	disease_groupFibrotic_ILD	-0.0646906926602335	0.0945765723627595	0.494489019976351	311	Healthy	228	0.659318693301801	0.612736394318522
Pattern_1	Pattern_1 (inflammatory)	Non-classical monocytes	disease_groupFibrotic_ILD	-0.0668687116479932	0.10641719011095	0.530405793931457	228	Healthy	228	0.663007242414322	0.653689302791202
Pattern_6	Pattern_6 (fibroblast_like)	Transitional Club-AT2	disease_groupCOPD	-0.121821678413137	0.15307613235907	0.427351366382593	159	Healthy	228	0.668157158878844	0.563214517544689
Pattern_6	Pattern_6 (fibroblast_like)	Vascular smooth muscle	disease_groupCOPD	-0.382217422119975	0.485178803310665	0.432336985156899	127	Healthy	228	0.668157158878844	0.565627860105009
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar fibroblasts	disease_groupCOPD	-0.113016747986462	0.182092213854029	0.535827481174716	145	Healthy	228	0.678961390594565	0.656820783375458
Pattern_6	Pattern_6 (fibroblast_like)	DC2	disease_groupCOPD	-0.0677252968600697	0.0972988749557516	0.486901658778745	323	Healthy	228	0.678961390594565	0.607778976565665
Pattern_6	Pattern_6 (fibroblast_like)	EC aerocyte capillary	disease_groupCOPD	-0.110857708050754	0.189145885846492	0.559144674607289	103	Healthy	228	0.678961390594565	0.678111626651393
Pattern_3	Pattern_3 (inflammatory)	Non-classical monocytes	disease_groupOther	0.0263068503579775	0.0599946066814369	0.661455946540681	228	Healthy	228	0.734951051711868	0.778911689421211
Pattern_3	Pattern_3 (inflammatory)	Pericytes	disease_groupOther	-0.061994310426307	0.17772472995743	0.728085462254568	89	Healthy	228	0.76640574974165	0.834188368814279
Pattern_4	Pattern_4 (fibroblast_like)	Non-classical monocytes	disease_groupFibrotic_ILD	0.0347484007316957	0.0691206673758211	0.615654442846508	228	Healthy	228	0.769568053558135	0.738785331415809
Pattern_6	Pattern_6 (fibroblast_like)	Interstitial macrophages	disease_groupCOPD	-0.0397155568400559	0.0996811674878679	0.69058282240033	323	Healthy	228	0.782660532053707	0.799253215772971
Pattern_4	Pattern_4 (fibroblast_like)	Myofibroblasts	disease_groupFibrotic_ILD	0.069452973258516	0.186624356143591	0.712157595184063	36	Healthy	228	0.824346013633385	0.820060261121042
Pattern_4	Pattern_4 (fibroblast_like)	Peribronchial fibroblasts	disease_groupFibrotic_ILD	0.0418879500127844	0.126841921190464	0.741911412270046	103	Healthy	228	0.824346013633385	0.842837991844112
Pattern_6	Pattern_6 (fibroblast_like)	Transitional Club-AT2	disease_groupOther	0.0333025925355412	0.121068794190911	0.783627519942697	159	Healthy	228	0.824871073623891	0.863125963994854
Pattern_1	Pattern_1 (inflammatory)	AT2	disease_groupFibrotic_ILD	0.0418542150023291	0.127512026809763	0.743028229652047	236	Healthy	228	0.836552566587165	0.842837991844112
Pattern_1	Pattern_1 (inflammatory)	EC aerocyte capillary	disease_groupFibrotic_ILD	-0.0535724745090225	0.209756458350545	0.7989415533158	103	Healthy	228	0.836552566587165	0.874481889567838
Pattern_1	Pattern_1 (inflammatory)	EC general capillary	disease_groupFibrotic_ILD	-0.0384401389775093	0.155934796828248	0.805608309516457	160	Healthy	228	0.836552566587165	0.874660450332153
Pattern_1	Pattern_1 (inflammatory)	Interstitial macrophages	disease_groupFibrotic_ILD	0.0196495250890753	0.0951671704156845	0.836552566587165	323	Healthy	228	0.836552566587165	0.903952536406983
Pattern_6	Pattern_6 (fibroblast_like)	Non-classical monocytes	disease_groupFibrotic_ILD	-0.010811980207315	0.0541933996127936	0.842046901059363	228	Healthy	228	0.842046901059363	0.905597610573277
Pattern_3	Pattern_3 (inflammatory)	Transitional Club-AT2	disease_groupOther	-0.019531004656743	0.111737439165085	0.861469821596258	159	Healthy	228	0.861469821596258	0.914591836326634
Pattern_4	Pattern_4 (fibroblast_like)	Lymphatic EC	disease_groupFibrotic_ILD	0.0123035576349128	0.09220286280533	0.894011993477437	165	Healthy	228	0.894011993477437	0.935021717948879
Pattern_4	Pattern_4 (fibroblast_like)	Mast cells	disease_groupFibrotic_ILD	-0.017075617932197	0.0973786893979558	0.860992216396555	191	Healthy	228	0.894011993477437	0.914591836326634
Pattern_1	Pattern_1 (inflammatory)	AT1	disease_groupCOPD	0.141772860558348	0.195479574188627	0.469309634306394	171	Healthy	228	0.920927529554153	0.597779869395854
Pattern_1	Pattern_1 (inflammatory)	EC general capillary	disease_groupCOPD	-0.182805868109438	0.262703728573026	0.487549868587493	160	Healthy	228	0.920927529554153	0.607778976565665
Pattern_1	Pattern_1 (inflammatory)	Mast cells	disease_groupCOPD	-0.204386343166627	0.293405638750098	0.486918198208951	191	Healthy	228	0.920927529554153	0.607778976565665
Pattern_6	Pattern_6 (fibroblast_like)	EC venous systemic	disease_groupCOPD	-0.0435223022371959	0.42118664199493	0.91784481142578	146	Healthy	228	0.933820531724225	0.941784331686872
Pattern_6	Pattern_6 (fibroblast_like)	Pericytes	disease_groupCOPD	-0.0417787806022039	0.501634627577336	0.933820531724225	89	Healthy	228	0.933820531724225	0.950495898362158
Pattern_1	Pattern_1 (inflammatory)	Transitional Club-AT2	disease_groupOther	-0.0174996029065861	0.24268288320937	0.942608182214654	159	Healthy	228	0.942608182214654	0.95242537733645
Pattern_4	Pattern_4 (fibroblast_like)	AT1	disease_groupCOPD	0.234192480606353	0.187057341737374	0.212326963756925	171	Healthy	228	0.944070768763324	0.322736984910526
Pattern_4	Pattern_4 (fibroblast_like)	AT2	disease_groupCOPD	0.166823862780646	0.152334152378271	0.274600557002684	236	Healthy	228	0.944070768763324	0.393766836456678
Pattern_4	Pattern_4 (fibroblast_like)	Adventitial fibroblasts	disease_groupCOPD	-0.16763856743472	0.130355886991095	0.200490458660716	149	Healthy	228	0.944070768763324	0.310964793024785
Pattern_4	Pattern_4 (fibroblast_like)	Alveolar fibroblasts	disease_groupCOPD	0.0675991658895042	0.217774785772359	0.756708614073619	145	Healthy	228	0.944070768763324	0.848655878699211
Pattern_4	Pattern_4 (fibroblast_like)	Alveolar macrophages	disease_groupCOPD	0.23440162906185	0.140378567996471	0.0959622002269435	317	Healthy	228	0.944070768763324	0.182260648914413
Pattern_4	Pattern_4 (fibroblast_like)	Classical monocytes	disease_groupCOPD	0.05865550363502	0.125630878930099	0.640911441728088	311	Healthy	228	0.944070768763324	0.761082337052104
Pattern_4	Pattern_4 (fibroblast_like)	DC2	disease_groupCOPD	-0.00866990920972205	0.123485966441288	0.944070768763324	323	Healthy	228	0.944070768763324	0.95242537733645
Pattern_4	Pattern_4 (fibroblast_like)	EC aerocyte capillary	disease_groupCOPD	0.0374239055972875	0.344635577918887	0.913747646215517	103	Healthy	228	0.944070768763324	0.941784331686872
Pattern_4	Pattern_4 (fibroblast_like)	EC general capillary	disease_groupCOPD	0.0607987336010491	0.205673124486523	0.767922147354876	160	Healthy	228	0.944070768763324	0.854079266326398
Pattern_4	Pattern_4 (fibroblast_like)	EC venous systemic	disease_groupCOPD	0.144820614128544	0.512236826092382	0.777801659321844	146	Healthy	228	0.944070768763324	0.860867855948448
Pattern_4	Pattern_4 (fibroblast_like)	Interstitial macrophages	disease_groupCOPD	0.0573939032212866	0.133161217478424	0.666751722988608	323	Healthy	228	0.944070768763324	0.779586629955912
Pattern_4	Pattern_4 (fibroblast_like)	Lymphatic EC	disease_groupCOPD	-0.146082877200626	0.170419528645904	0.392610923656229	165	Healthy	228	0.944070768763324	0.532829110676311
Pattern_4	Pattern_4 (fibroblast_like)	Mast cells	disease_groupCOPD	0.100857345376657	0.163946946742859	0.539181902488382	191	Healthy	228	0.944070768763324	0.65739825544038
Pattern_4	Pattern_4 (fibroblast_like)	Non-classical monocytes	disease_groupCOPD	-0.047966053046795	0.118472957104231	0.685960012700187	228	Healthy	228	0.944070768763324	0.797953484161442
Pattern_4	Pattern_4 (fibroblast_like)	Pericytes	disease_groupCOPD	-0.117448518302979	0.696313351272924	0.86645542388839	89	Healthy	228	0.944070768763324	0.914591836326634
Pattern_4	Pattern_4 (fibroblast_like)	Transitional Club-AT2	disease_groupCOPD	0.065544306397029	0.204735855843026	0.749292724959692	159	Healthy	228	0.944070768763324	0.845736343023811
Pattern_4	Pattern_4 (fibroblast_like)	Vascular smooth muscle	disease_groupCOPD	0.126007921138541	0.500409285375927	0.801608398770518	127	Healthy	228	0.944070768763324	0.874481889567838
Pattern_6	Pattern_6 (fibroblast_like)	Pericytes	disease_groupOther	-0.00469878037372221	0.13047638836648	0.971356834973973	89	Healthy	228	0.971356834973973	0.975635939973858
Pattern_1	Pattern_1 (inflammatory)	AT2	disease_groupCOPD	-0.0226257141728765	0.228273381210597	0.9211311665183	236	Healthy	228	0.978701864425694	0.941784331686872
Pattern_1	Pattern_1 (inflammatory)	Alveolar macrophages	disease_groupCOPD	0.019731196524329	0.145986426853429	0.892574028739511	317	Healthy	228	0.978701864425694	0.935021717948879
Pattern_1	Pattern_1 (inflammatory)	DC2	disease_groupCOPD	-0.0605431273352026	0.197445679621415	0.759323680941399	323	Healthy	228	0.978701864425694	0.848655878699211
Pattern_1	Pattern_1 (inflammatory)	EC aerocyte capillary	disease_groupCOPD	-0.056637839124182	0.487658426929062	0.907774924116632	103	Healthy	228	0.978701864425694	0.940784921357237
Pattern_1	Pattern_1 (inflammatory)	Interstitial macrophages	disease_groupCOPD	-0.0761740615958194	0.174504903374569	0.662758191875942	323	Healthy	228	0.978701864425694	0.778911689421211
Pattern_1	Pattern_1 (inflammatory)	Transitional Club-AT2	disease_groupCOPD	0.0521148499742321	0.306841720855489	0.865355257938336	159	Healthy	228	0.978701864425694	0.914591836326634
Pattern_1	Pattern_1 (inflammatory)	Vascular smooth muscle	disease_groupCOPD	0.120422130166159	0.94072803723763	0.898350509189928	127	Healthy	228	0.978701864425694	0.935269023266226
Pattern_1	Pattern_1 (inflammatory)	Pericytes	disease_groupCOPD	-0.00931186914044026	0.841318094410196	0.9911949785655	89	Healthy	228	0.9911949785655	0.9911949785655
