gene	block	block_type	block_rank	pericyte_state	mean_expr	frac_expr
LAMC3	3	marker	3	4	0.85194266	0.3409090909090909
LAMC3	3	marker	3	5	0.9994441	0.46017699115044247
ITGA1	3	marker	4	0	1.5090615	0.6739427012278308
ITGA1	3	marker	4	1	2.108935	0.7961432506887053
ITGA1	3	marker	4	2	1.076087	0.3954154727793696
ITGA1	3	marker	4	3	2.217634	0.9059080962800875
ITGA1	3	marker	4	4	1.403018	0.5454545454545454
ITGA1	3	marker	4	5	2.169212	0.8495575221238938
NEAT1	4	marker	1	0	1.9452612	0.7965552523874488
NEAT1	4	marker	1	1	2.3466425	0.853168044077135
NEAT1	4	marker	1	2	1.525263	0.5422636103151862
NEAT1	4	marker	1	3	2.058951	0.8205689277899344
NEAT1	4	marker	1	4	2.3924477	0.8272727272727273
NEAT1	4	marker	1	5	2.4259038	0.911504424778761
NAMPT	4	marker	2	0	0.7891057	0.37636425648021826
NAMPT	4	marker	2	1	0.58836	0.26887052341597795
NAMPT	4	marker	2	2	0.50904155	0.19555873925501432
NAMPT	4	marker	2	3	0.52763164	0.2647702407002188
NAMPT	4	marker	2	4	1.3493778	0.5136363636363637
NAMPT	4	marker	2	5	0.7476828	0.36283185840707965
THBS1	4	marker	3	0	0.91186666	0.421043656207367
THBS1	4	marker	3	1	0.67934257	0.2892561983471074
THBS1	4	marker	3	2	0.54311764	0.2020057306590258
THBS1	4	marker	3	3	0.7872086	0.3741794310722101
THBS1	4	marker	3	4	1.3487196	0.4863636363636364
THBS1	4	marker	3	5	1.0399598	0.46017699115044247
FOS	4	marker	4	0	2.1675751	0.8061050477489768
FOS	4	marker	4	1	0.5905315	0.23829201101928374
FOS	4	marker	4	2	1.7182087	0.576647564469914
FOS	4	marker	4	3	0.9700255	0.4179431072210066
FOS	4	marker	4	4	1.9447116	0.6409090909090909
FOS	4	marker	4	5	0.7992493	0.336283185840708
SLIT3	5	marker	1	0	0.4312033	0.22220327421555253
SLIT3	5	marker	1	1	0.7415962	0.31157024793388427
SLIT3	5	marker	1	2	0.25710857	0.09813753581661891
SLIT3	5	marker	1	3	0.6341544	0.31072210065645517
SLIT3	5	marker	1	4	0.57146657	0.2409090909090909
SLIT3	5	marker	1	5	1.732432	0.7256637168141593
DMD	5	marker	2	0	0.26064646	0.13949522510231924
DMD	5	marker	2	1	1.0207658	0.4283746556473829
DMD	5	marker	2	2	0.18259545	0.07234957020057306
DMD	5	marker	2	3	0.65071374	0.32603938730853393
DMD	5	marker	2	4	0.349815	0.15
DMD	5	marker	2	5	1.5457526	0.6548672566371682
ENAH	5	marker	3	0	0.32086134	0.16950886766712142
ENAH	5	marker	3	1	0.8119882	0.3650137741046832
ENAH	5	marker	3	2	0.24435112	0.09527220630372493
ENAH	5	marker	3	3	0.63522065	0.3238512035010941
ENAH	5	marker	3	4	0.47239473	0.2
ENAH	5	marker	3	5	1.2675283	0.5752212389380531
MACF1	5	marker	4	0	0.45358258	0.23533424283765347
MACF1	5	marker	4	1	1.3017341	0.5589531680440771
MACF1	5	marker	4	2	0.31915367	0.12464183381088825
MACF1	5	marker	4	3	1.0176606	0.5010940919037199
MACF1	5	marker	4	4	0.83685976	0.33181818181818185
MACF1	5	marker	4	5	1.517061	0.6814159292035398
