contrast	estimate	se	df	t.ratio	p.value	gene	compartment	model_arm	covariates	n_model_donors	ci_lo	ci_hi
COPD	-0.104383216587297	0.106512162016382	37	-0.98001218462961	0.333444955385212	AGT	Mural	no_smoking	mean_log10_counts+sex+age	43	-0.313147054139405	0.104380620964811
COPD	-0.139613317990337	0.110015927875615	40	-1.26902822787792	0.211765885303538	AGT	Mural	unadjusted	none	43	-0.355244536626541	0.0760179006458679
IPF	0.00351123052076736	0.103678064901444	36	0.033866667207814	0.973170556931421	AGT	Mural	adjusted	mean_log10_counts+sex+age+ever_smoker	43	-0.199697776686064	0.206720237727598
IPF	0.00397235967676157	0.101410471410263	37	0.0391710996065791	0.968964574114832	AGT	Mural	no_smoking	mean_log10_counts+sex+age	43	-0.194792164287355	0.202736883640878
IPF	-0.0940469189230058	0.0960297746934869	40	-0.979351656537672	0.333292701077898	AGT	Mural	unadjusted	none	43	-0.28226527732224	0.0941714394762285
COPD	-0.0559825088252753	0.0437522827891789	52	-1.27953343817574	0.206389048569448	AGT	Myofibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	59	-0.141736983092066	0.0297719654415154
COPD	-0.0245385647565689	0.0385062064922726	53	-0.637262586785672	0.526697181286135	AGT	Myofibroblast	no_smoking	mean_log10_counts+sex+age	59	-0.100010729481423	0.0509335999682853
COPD	-0.0244688037115315	0.0352216645636756	56	-0.694708896204935	0.490110168601214	AGT	Myofibroblast	unadjusted	none	59	-0.0935032662563358	0.0445656588332727
IPF	-0.0178090060179736	0.0387272839060267	52	-0.459856830166244	0.647535986334276	AGT	Myofibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	59	-0.0937144824737858	0.0580964704378387
IPF	-0.00334947183513459	0.0378422957202424	53	-0.0885113276397474	0.929803889243481	AGT	Myofibroblast	no_smoking	mean_log10_counts+sex+age	59	-0.0775203714468097	0.0708214277765405
IPF	0.0178961295786032	0.0299723313484389	56	0.59708834026137	0.552854993551777	AGT	Myofibroblast	unadjusted	none	59	-0.040849639864337	0.0766418990215434
COPD	0.333365630555586	0.231752334013187	22	1.43845641069841	0.164379664083702	AGT	Pericyte	adjusted	mean_log10_counts+sex+age+ever_smoker	29	-0.120868944110259	0.787600205221432
COPD	0.385082407391685	0.21528600514478	23	1.78870153279456	0.0868438366104919	AGT	Pericyte	no_smoking	mean_log10_counts+sex+age	29	-0.0368781626920837	0.807042977475453
COPD	0.158693705032441	0.204627094922302	26	0.775526354868587	0.44502580020811	AGT	Pericyte	unadjusted	none	29	-0.242375401015271	0.559762811080153
IPF	-0.0155696099845103	0.18439333791481	22	-0.0844369442007904	0.933472698841086	AGT	Pericyte	adjusted	mean_log10_counts+sex+age+ever_smoker	29	-0.376980552297539	0.345841332328518
IPF	-0.00413027380233363	0.181290616070988	23	-0.0227826122049049	0.982020182907598	AGT	Pericyte	no_smoking	mean_log10_counts+sex+age	29	-0.359459881301471	0.351199333696804
IPF	-0.0803267840467326	0.179170468498191	26	-0.448326025600271	0.657631856556258	AGT	Pericyte	unadjusted	none	29	-0.431500902303187	0.270847334209722
COPD	-0.240451173363408	0.174360582289063	29	-1.37904548268127	0.178424801153141	AGT	SMC	adjusted	mean_log10_counts+sex+age+ever_smoker	36	-0.582197914649971	0.101295567923156
COPD	-0.215685024224088	0.146298822189138	30	-1.47427724295174	0.150824369086469	AGT	SMC	no_smoking	mean_log10_counts+sex+age	36	-0.502430715714798	0.0710606672666211
COPD	-0.245968742667634	0.155942123299114	33	-1.57730789772459	0.124263987527696	AGT	SMC	unadjusted	none	36	-0.551615304333898	0.0596778189986293
IPF	0.0311769687140497	0.142123146645955	29	0.219365877056713	0.82790176302416	AGT	SMC	adjusted	mean_log10_counts+sex+age+ever_smoker	36	-0.247384398712022	0.309738336140121
IPF	0.038799917947505	0.13715606584318	30	0.282888822371645	0.779204888410021	AGT	SMC	no_smoking	mean_log10_counts+sex+age	36	-0.230025971105128	0.307625807000138
IPF	-0.0773397664828545	0.135258734219799	33	-0.571791292658226	0.571337988637029	AGT	SMC	unadjusted	none	36	-0.342446885553661	0.187767352587952
COPD	0.000466639174105668	0.0035496879063574	45	0.131459211743638	0.895998042690562	AGTR1	ATI	adjusted	mean_log10_counts+sex+age+ever_smoker	52	-0.00649074912235484	0.00742402747056618
COPD	0.000574468429556565	0.00285255062004644	46	0.201387637267315	0.841283385905821	AGTR1	ATI	no_smoking	mean_log10_counts+sex+age	52	-0.00501653078573445	0.00616546764484758
