donor_id,leiden_pericytes,mean,std,n_cells
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747179I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747184CO,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747184CO,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747184CO,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747184CO,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747184CO,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747186CO,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747186CO,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747186CO,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747186CO,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747186CO,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192C,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192C,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192C,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192C,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192C,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192CO,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192CO,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192CO,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192CO,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192CO,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747193CO,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747193CO,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747193CO,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747193CO,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747193CO,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747194CO,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747194CO,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747194CO,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747194CO,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747194CO,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471A1DFBng,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471A1DFBng,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471A1DFBng,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471A1DFBng,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471A1DFBng,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747207CO,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747207CO,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747207CO,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747207CO,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747207CO,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747208C,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747208C,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747208C,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747208C,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747208C,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747209I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747209I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747209I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747209I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747209I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747210I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747210I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747210I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747210I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747210I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747212I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747212I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747212I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747212I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747212I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747214I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747214I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747214I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747214I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747214I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747217CO,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747217CO,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747217CO,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747217CO,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747217CO,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747218C,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747218C,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747218C,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747218C,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747218C,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747221I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747221I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747221I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747221I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747221I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222C,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222C,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222C,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222C,3,,,0
