donor_id,n_cells,ARI,NMI
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD92,75,-0.012862161494337889,0.03639856421989391
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD94,55,0.028261728178347302,0.06049206889373798
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD95,115,-0.005925254246562493,0.03507793857389879
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD55,51,0.05529570597682469,0.09438601584102997
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD57,63,0.013811297330850403,0.052176226763979275
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD59,51,0.017870898166692344,0.031884620678066196
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 1,63,-0.00519129696818534,0.05446737592269832
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 2,1129,0.05734915416403803,0.04286567159229626
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 3,398,0.024874750288189428,0.029412345188290126
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_3,66,-0.027502800367918256,0.0563825512092019
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_7,24,0.016848673946957878,0.2043082153102513
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_8,26,-0.049002347417840375,0.043620466519928486
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc10380,36,0.05468489496498833,0.19369407995002388
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5212,21,-0.03018867924528302,0.1786356672670669
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc8257,98,0.036561774121326475,0.07236367600334889
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc9833,25,0.12733873219771014,0.2488083084072245
