sampid	subjid
GTEX-O5YT-0526-SM-32PK8	GTEX-O5YT
GTEX-O5YV-0526-SM-2I5GE	GTEX-O5YV
GTEX-O5YW-0526-SM-2YUMX	GTEX-O5YW
GTEX-OHPL-0526-SM-3NM8U	GTEX-OHPL
GTEX-OHPM-0526-SM-2YUMJ	GTEX-OHPM
GTEX-OIZF-0526-SM-7MXVM	GTEX-OIZF
GTEX-OIZG-0526-SM-2HMLF	GTEX-OIZG
GTEX-OIZH-0526-SM-2HMKV	GTEX-OIZH
GTEX-OIZI-1026-SM-3NB1K	GTEX-OIZI
GTEX-OOBJ-0526-SM-48TDK	GTEX-OOBJ
GTEX-OOBK-0526-SM-2HMJJ	GTEX-OOBK
GTEX-OXRK-0926-SM-2HMKP	GTEX-OXRK
GTEX-OXRL-0526-SM-2I3EZ	GTEX-OXRL
GTEX-OXRN-0526-SM-2I5EN	GTEX-OXRN
GTEX-OXRO-0326-SM-33HBM	GTEX-OXRO
GTEX-OXRP-0526-SM-2I3EW	GTEX-OXRP
GTEX-P44H-1126-SM-48TBU	GTEX-P44H
GTEX-P4PP-0526-SM-2HMKE	GTEX-P4PP
GTEX-P4PQ-0526-SM-2HMKR	GTEX-P4PQ
GTEX-P4QS-0526-SM-2I3ET	GTEX-P4QS
GTEX-P4QT-0526-SM-2I3EX	GTEX-P4QT
GTEX-P78B-0926-SM-2I5FA	GTEX-P78B
GTEX-PLZ4-0726-SM-2TC6Q	GTEX-PLZ4
GTEX-PLZ5-0726-SM-2I5F9	GTEX-PLZ5
GTEX-PLZ6-0426-SM-5IJDW	GTEX-PLZ6
GTEX-POMQ-0526-SM-3GADD	GTEX-POMQ
GTEX-POYW-1226-SM-2XCEP	GTEX-POYW
GTEX-PSDG-1126-SM-2S1ON	GTEX-PSDG
GTEX-PVOW-1026-SM-2XCF9	GTEX-PVOW
GTEX-PW2O-0526-SM-2I3DX	GTEX-PW2O
GTEX-PX3G-0526-SM-2I3EM	GTEX-PX3G
GTEX-Q2AG-1026-SM-33HBW	GTEX-Q2AG
GTEX-Q2AH-0426-SM-2I3EP	GTEX-Q2AH
GTEX-Q734-0626-SM-2I3EF	GTEX-Q734
GTEX-QCQG-0326-SM-2I3ES	GTEX-QCQG
GTEX-QDT8-0926-SM-32PL2	GTEX-QDT8
GTEX-QDVJ-0926-SM-2I5FU	GTEX-QDVJ
GTEX-QDVN-0726-SM-4B64L	GTEX-QDVN
GTEX-QEG4-0526-SM-48TZD	GTEX-QEG4
GTEX-QEG5-1126-SM-33HC2	GTEX-QEG5
GTEX-QEL4-0826-SM-3GAF2	GTEX-QEL4
GTEX-QESD-0626-SM-2I5G4	GTEX-QESD
GTEX-QMR6-1926-SM-32PL9	GTEX-QMR6
GTEX-QMRM-0826-SM-3NB33	GTEX-QMRM
GTEX-QV44-0926-SM-2S1RH	GTEX-QV44
GTEX-QVUS-2026-SM-EYYW9	GTEX-QVUS
GTEX-QXCU-0626-SM-2TC69	GTEX-QXCU
GTEX-R3RS-1026-SM-3GADF	GTEX-R3RS
GTEX-R55C-0526-SM-3GIKA	GTEX-R55C
GTEX-R55D-0926-SM-3GAEU	GTEX-R55D
GTEX-R55G-0826-SM-2TC5U	GTEX-R55G
GTEX-REY6-0426-SM-2TF5G	GTEX-REY6
GTEX-RM2N-0426-SM-2TF4T	GTEX-RM2N
GTEX-RN64-1226-SM-2TC6E	GTEX-RN64
GTEX-RNOR-0726-SM-2TF5I	GTEX-RNOR
GTEX-RTLS-0926-SM-2TF5X	GTEX-RTLS
GTEX-RU1J-0126-SM-2TF6Y	GTEX-RU1J
GTEX-RU72-0526-SM-2TF5Z	GTEX-RU72
GTEX-RUSQ-0626-SM-2TF5V	GTEX-RUSQ
GTEX-RVPV-1726-SM-2NKAQ	GTEX-RVPV
GTEX-RWS6-0226-SM-2XCA9	GTEX-RWS6
GTEX-RWSA-1126-SM-2XCAZ	GTEX-RWSA
GTEX-S32W-0326-SM-2XCBI	GTEX-S32W
GTEX-S33H-0626-SM-2XCBJ	GTEX-S33H
GTEX-S341-0326-SM-2XCAU	GTEX-S341
GTEX-S3LF-1126-SM-EVR33	GTEX-S3LF
GTEX-S7SE-0926-SM-2XCD6	GTEX-S7SE
GTEX-SE5C-0526-SM-2XCE1	GTEX-SE5C
GTEX-SIU8-0926-SM-COH1X	GTEX-SIU8
GTEX-SJXC-1026-SM-EYYVA	GTEX-SJXC
GTEX-SN8G-0926-SM-4DM5I	GTEX-SN8G
GTEX-SNOS-0426-SM-32PMH	GTEX-SNOS
GTEX-SUCS-0626-SM-32PM5	GTEX-SUCS
GTEX-T2IS-0526-SM-32QP9	GTEX-T2IS
GTEX-T5JC-0826-SM-32PMC	GTEX-T5JC
GTEX-T6MN-0826-SM-32PM4	GTEX-T6MN
GTEX-T6MO-0426-SM-32QOI	GTEX-T6MO
GTEX-T8EM-0326-SM-3DB7F	GTEX-T8EM
GTEX-TML8-0326-SM-4GICN	GTEX-TML8
GTEX-TMMY-0926-SM-4TT1Z	GTEX-TMMY
GTEX-TSE9-0726-SM-3DB8C	GTEX-TSE9
GTEX-U3ZH-0526-SM-3DB75	GTEX-U3ZH
GTEX-U3ZM-0426-SM-3DB73	GTEX-U3ZM
GTEX-U3ZN-0626-SM-3DB7U	GTEX-U3ZN
GTEX-U412-0826-SM-3DB9K	GTEX-U412
GTEX-U8T8-2226-SM-3DB95	GTEX-U8T8
GTEX-U8XE-1426-SM-3DB8Q	GTEX-U8XE
GTEX-UJHI-0726-SM-3DB92	GTEX-UJHI
GTEX-UJMC-0726-SM-3GADX	GTEX-UJMC
GTEX-UPJH-0826-SM-4WKFD	GTEX-UPJH
GTEX-UPK5-1126-SM-3GAEJ	GTEX-UPK5
GTEX-V1D1-0826-SM-3P5ZA	GTEX-V1D1
GTEX-VJWN-1326-SM-EVR2Z	GTEX-VJWN
GTEX-VJYA-0326-SM-3GAEX	GTEX-VJYA
GTEX-VUSG-0926-SM-3GIK6	GTEX-VUSG
GTEX-W5X1-0526-SM-3GILH	GTEX-W5X1
GTEX-WFG7-0526-SM-3GIKI	GTEX-WFG7
GTEX-WFG8-0926-SM-3GIKJ	GTEX-WFG8
GTEX-WFJO-0326-SM-3GIL3	GTEX-WFJO
GTEX-WFON-0426-SM-3GIL4	GTEX-WFON
GTEX-WH7G-0726-SM-3NMBM	GTEX-WH7G
GTEX-WHPG-1426-SM-3NMBB	GTEX-WHPG
GTEX-WHSB-0326-SM-5FQSD	GTEX-WHSB
GTEX-WK11-0526-SM-3NB3O	GTEX-WK11
GTEX-WOFM-0126-SM-3MJFE	GTEX-WOFM
GTEX-WRHU-0226-SM-3MJFV	GTEX-WRHU
GTEX-WVJS-0826-SM-4MVNR	GTEX-WVJS
