target	ligand	regulatory_potential	ligand_rank	aupr_corrected	perm_z	perm_p_BH	target_class	shown_in_figure_heatmap	rank_target_within_ligand	rank_ligand_within_target
COL4A1	RSPO3	0.00497647707070043	194	0.00213603724706453	0.182764519630865	0.188833400923867	collagen-associated	FALSE	8	117
LAMA4	RSPO3	0.00469952620911479	194	0.00213603724706453	0.182764519630865	0.188833400923867	laminin	FALSE	9	127
LAMB2	RSPO3	0.00378038410503947	194	0.00213603724706453	0.182764519630865	0.188833400923867	laminin	FALSE	10	111
LAMA4	TIMP1	0.00761957430283614	195	0.00213293321489961	0.209219973099045	0.188833400923867	laminin	FALSE	1	23
NID2	TIMP1	0.00738779995448602	195	0.00213293321489961	0.209219973099045	0.188833400923867	linker/proteoglycan	FALSE	2	58
LAMC1	TIMP1	0.00624494906620401	195	0.00213293321489961	0.209219973099045	0.188833400923867	laminin	FALSE	3	131
COL18A1	TIMP1	0.00592942838656092	195	0.00213293321489961	0.209219973099045	0.188833400923867	collagen-associated	FALSE	4	151
COL4A2	TIMP1	0.0053525723472657	195	0.00213293321489961	0.209219973099045	0.188833400923867	collagen-associated	FALSE	5	102
NID1	TIMP1	0.00522773919374836	195	0.00213293321489961	0.209219973099045	0.188833400923867	linker/proteoglycan	FALSE	6	122
LAMB1	TIMP1	0.00503609073187561	195	0.00213293321489961	0.209219973099045	0.188833400923867	laminin	FALSE	7	72
COL4A1	TIMP1	0.00471093531844678	195	0.00213293321489961	0.209219973099045	0.188833400923867	collagen-associated	FALSE	8	146
HSPG2	TIMP1	0.00423740726918835	195	0.00213293321489961	0.209219973099045	0.188833400923867	linker/proteoglycan	FALSE	9	135
LAMB2	TIMP1	0.00397700866032839	195	0.00213293321489961	0.209219973099045	0.188833400923867	laminin	FALSE	10	91
LAMC1	PLEKHO2	0.00496806081870059	196	0.00213196565811296	0.182015891012407	0.190420381038819	laminin	FALSE	1	234
COL18A1	PLEKHO2	0.00487832601492272	196	0.00213196565811296	0.182015891012407	0.190420381038819	collagen-associated	FALSE	2	231
NID2	PLEKHO2	0.00425825397225	196	0.00213196565811296	0.182015891012407	0.190420381038819	linker/proteoglycan	FALSE	3	264
COL4A2	PLEKHO2	0.00404932647324086	196	0.00213196565811296	0.182015891012407	0.190420381038819	collagen-associated	FALSE	4	229
NID1	PLEKHO2	0.00397136169590594	196	0.00213196565811296	0.182015891012407	0.190420381038819	linker/proteoglycan	FALSE	5	228
COL4A1	PLEKHO2	0.00381570732478877	196	0.00213196565811296	0.182015891012407	0.190420381038819	collagen-associated	FALSE	6	241
LAMA4	PLEKHO2	0.00372293607703813	196	0.00213196565811296	0.182015891012407	0.190420381038819	laminin	FALSE	7	226
HSPG2	PLEKHO2	0.00350641396458116	196	0.00213196565811296	0.182015891012407	0.190420381038819	linker/proteoglycan	FALSE	8	206
LAMB1	PLEKHO2	0.00313482141893649	196	0.00213196565811296	0.182015891012407	0.190420381038819	laminin	FALSE	9	244
LAMB2	PLEKHO2	0.00280785436213608	196	0.00213196565811296	0.182015891012407	0.190420381038819	laminin	FALSE	10	239
LAMC1	SIGLEC9	0.00474218198448736	197	0.00211520835759835	0.166547115446774	0.188833400923867	laminin	FALSE	1	256
COL18A1	SIGLEC9	0.00469801646953506	197	0.00211520835759835	0.166547115446774	0.188833400923867	collagen-associated	FALSE	2	254
NID2	SIGLEC9	0.00446107779980561	197	0.00211520835759835	0.166547115446774	0.188833400923867	linker/proteoglycan	FALSE	3	241
COL4A2	SIGLEC9	0.00402610393747514	197	0.00211520835759835	0.166547115446774	0.188833400923867	collagen-associated	FALSE	4	231
LAMA4	SIGLEC9	0.00363079650734734	197	0.00211520835759835	0.166547115446774	0.188833400923867	laminin	FALSE	5	232
NID1	SIGLEC9	0.00352635295615862	197	0.00211520835759835	0.166547115446774	0.188833400923867	linker/proteoglycan	FALSE	6	285
COL4A1	SIGLEC9	0.00347279503759498	197	0.00211520835759835	0.166547115446774	0.188833400923867	collagen-associated	FALSE	7	277
LAMB1	SIGLEC9	0.00310790984807686	197	0.00211520835759835	0.166547115446774	0.188833400923867	laminin	FALSE	8	247
HSPG2	SIGLEC9	0.00304069043151585	197	0.00211520835759835	0.166547115446774	0.188833400923867	linker/proteoglycan	FALSE	9	264
LAMB2	SIGLEC9	0.0027318078163308	197	0.00211520835759835	0.166547115446774	0.188833400923867	laminin	FALSE	10	246
LAMC1	PSEN1	0.00671272876615245	198	0.00209386383869638	0.140376537028235	0.190420381038819	laminin	FALSE	1	103
COL18A1	PSEN1	0.00658790806952862	198	0.00209386383869638	0.140376537028235	0.190420381038819	collagen-associated	FALSE	2	116
COL4A1	PSEN1	0.00559994162138496	198	0.00209386383869638	0.140376537028235	0.190420381038819	collagen-associated	FALSE	3	85
NID1	PSEN1	0.00558437576672843	198	0.00209386383869638	0.140376537028235	0.190420381038819	linker/proteoglycan	FALSE	4	99
LAMA4	PSEN1	0.00533586362624794	198	0.00209386383869638	0.140376537028235	0.190420381038819	laminin	FALSE	5	83
NID2	PSEN1	0.00501969843687653	198	0.00209386383869638	0.140376537028235	0.190420381038819	linker/proteoglycan	FALSE	6	174
COL4A2	PSEN1	0.00496140803902276	198	0.00209386383869638	0.140376537028235	0.190420381038819	collagen-associated	FALSE	7	121
HSPG2	PSEN1	0.00418253607267231	198	0.00209386383869638	0.140376537028235	0.190420381038819	linker/proteoglycan	FALSE	8	139
LAMB1	PSEN1	0.00374352778535167	198	0.00209386383869638	0.140376537028235	0.190420381038819	laminin	FALSE	9	171
LAMB2	PSEN1	0.00358614934644308	198	0.00209386383869638	0.140376537028235	0.190420381038819	laminin	FALSE	10	137
COL18A1	TNFSF13	0.0052579273198748	199	0.00209283027751717	0.18234218003336	0.188833400923867	collagen-associated	FALSE	1	202
LAMC1	TNFSF13	0.00511860071000088	199	0.00209283027751717	0.18234218003336	0.188833400923867	laminin	FALSE	2	220
NID2	TNFSF13	0.00490714460712781	199	0.00209283027751717	0.18234218003336	0.188833400923867	linker/proteoglycan	FALSE	3	192
NID1	TNFSF13	0.00484602206171266	199	0.00209283027751717	0.18234218003336	0.188833400923867	linker/proteoglycan	FALSE	4	150
COL4A2	TNFSF13	0.00407934327948323	199	0.00209283027751717	0.18234218003336	0.188833400923867	collagen-associated	FALSE	5	225
COL4A1	TNFSF13	0.00405294266942217	199	0.00209283027751717	0.18234218003336	0.188833400923867	collagen-associated	FALSE	6	215
LAMA4	TNFSF13	0.00363397975634274	199	0.00209283027751717	0.18234218003336	0.188833400923867	laminin	FALSE	7	230
HSPG2	TNFSF13	0.00319058244411646	199	0.00209283027751717	0.18234218003336	0.188833400923867	linker/proteoglycan	FALSE	8	236
LAMB1	TNFSF13	0.00308122853885519	199	0.00209283027751717	0.18234218003336	0.188833400923867	laminin	FALSE	9	253
LAMB2	TNFSF13	0.00285304767311694	199	0.00209283027751717	0.18234218003336	0.188833400923867	laminin	FALSE	10	234
COL18A1	SPARC	0.00428941171089062	200	0.00206856099853053	0.184144632589902	0.190420381038819	collagen-associated	FALSE	1	293
LAMC1	SPARC	0.0041908731917267	200	0.00206856099853053	0.184144632589902	0.190420381038819	laminin	FALSE	2	300
NID2	SPARC	0.00384246868357341	200	0.00206856099853053	0.184144632589902	0.190420381038819	linker/proteoglycan	FALSE	3	287
COL4A1	SPARC	0.00362431610759969	200	0.00206856099853053	0.184144632589902	0.190420381038819	collagen-associated	FALSE	4	262
COL4A2	SPARC	0.00350980855214113	200	0.00206856099853053	0.184144632589902	0.190420381038819	collagen-associated	FALSE	5	296
LAMA4	SPARC	0.00340421344123439	200	0.00206856099853053	0.184144632589902	0.190420381038819	laminin	FALSE	6	269
NID1	SPARC	0.00338010087937129	200	0.00206856099853053	0.184144632589902	0.190420381038819	linker/proteoglycan	FALSE	7	300
HSPG2	SPARC	0.0028770443089183	200	0.00206856099853053	0.184144632589902	0.190420381038819	linker/proteoglycan	FALSE	8	286
LAMB1	SPARC	0.00282780539398481	200	0.00206856099853053	0.184144632589902	0.190420381038819	laminin	FALSE	9	287
LAMB2	SPARC	0.00233405975008821	200	0.00206856099853053	0.184144632589902	0.190420381038819	laminin	FALSE	10	301
