level	model	spec	predictor	estimate	SE	z_value	p_value	n_units	n_donors	singular	note	max_abs_grad	n_warnings	score	family	null_mean	null_sd	n_null	p_emp	p_BH	source_table	kind	median_rho	q25	q75	p_wilcox	pericyte_state	emmean	df	lower.CL	upper.CL	small_group	contrast	t.ratio	p.value	touches_small_group	program	rho
									69					tf_NFKB1	tf					0.00166996292232681	at1r_continuum_summary.tsv	partial	-0.0527579162410623	-0.162337662337662	0.0225002805521266	0.0008133537000721												
									69					tf_RELA	tf					6.52750525440093e-10	at1r_continuum_summary.tsv	raw	-0.247974805353862	-0.311206165136771	-0.10710502395451	4.48783445330297e-10												
									69					tf_RELA	tf					0.00867107142005355	at1r_continuum_summary.tsv	partial	-0.0593795093795094	-0.168979591836735	0.0499274310595065	0.00867107142005355												
									69					tf_SMAD2	tf					6.52750525440093e-10	at1r_continuum_summary.tsv	raw	-0.199146514935989	-0.308857539315449	-0.115519301446075	2.94164008330047e-10												
									69					tf_SMAD2	tf					0.00166996292232681	at1r_continuum_summary.tsv	partial	-0.0682110682110682	-0.1420410906298	0.0288957688338493	0.000490803968563698												
									69					tf_SMAD3	tf					6.52750525440093e-10	at1r_continuum_summary.tsv	raw	-0.2489592760181	-0.367021276595745	-0.123223358415332	1.8469383707888e-10												
									69					tf_SMAD3	tf					0.00166996292232681	at1r_continuum_summary.tsv	partial	-0.078659022137283	-0.194484760522496	0.0377968910281701	0.00119283065880487												
									69					tf_AP1	tf					6.52750525440093e-10	at1r_continuum_summary.tsv	raw	-0.339020477535611	-0.45891181988743	-0.156702565169384	3.70593102735297e-10												
									69					tf_AP1	tf					0.00166996292232681	at1r_continuum_summary.tsv	partial	-0.107454254674906	-0.219125809435708	0.0286822291052857	0.00109655644167727												
					0.132599340364097			64	64					at1r_response_score							at1r_by_subcluster_emmeans.tsv						0	0.435031283191253	34.6110835928365	0.165732140281658	0.704330426100848	FALSE						
					0.111473666936901			67	67					at1r_response_score							at1r_by_subcluster_emmeans.tsv						1	-0.548617424468071	23.3093873684047	-0.779049026765399	-0.318185822170743	FALSE						
					0.124719375174671			45	45					at1r_response_score							at1r_by_subcluster_emmeans.tsv						2	-0.0522822833196043	52.8573358217355	-0.302453432850995	0.197888866211787	FALSE						
					0.163489890751994			21	21					at1r_response_score							at1r_by_subcluster_emmeans.tsv						3	0.29322885854568	121.143831701116	-0.0304386214595936	0.616896338550954	FALSE						
					0.196027063380999			13	13					at1r_response_score							at1r_by_subcluster_emmeans.tsv						4	0.0237037219507414	140.363199912161	-0.363843570559588	0.411251014461071	TRUE						
					0.335289256410077			4	4					at1r_response_score							at1r_by_subcluster_emmeans.tsv						5	0.746809450014017	142.313908899867	0.0840185259598614	1.40960037406817	TRUE						
					0.144358014245988			64	64					at1r_legacy_curated_score							at1r_by_subcluster_emmeans.tsv						0	0.191771953298738	33.817534860469	-0.10165714446017	0.485201051057646	FALSE						
					0.121520503008888			67	67					at1r_legacy_curated_score							at1r_by_subcluster_emmeans.tsv						1	-0.272029127975923	21.855672235227	-0.524143753117014	-0.0199145028348325	FALSE						
					0.134590688077632			45	45					at1r_legacy_curated_score							at1r_by_subcluster_emmeans.tsv						2	-0.23707222784911	46.6920350635152	-0.507880917388124	0.0337364616899042	FALSE						
					0.17392681613132			21	21					at1r_legacy_curated_score							at1r_by_subcluster_emmeans.tsv						3	-0.190001657449116	108.464101407072	-0.534738069627465	0.154734754729232	FALSE						
					0.206649013678052			13	13					at1r_legacy_curated_score							at1r_by_subcluster_emmeans.tsv						4	0.669116489402472	131.039313014172	0.260316589746926	1.07791638905802	TRUE						
					0.349663858942459			4	4					at1r_legacy_curated_score							at1r_by_subcluster_emmeans.tsv						5	1.24243922771904	138.925096922977	0.551088361615753	1.93379009382232	TRUE						
				0.983648707659324	0.175564146205441									at1r_response_score							at1r_by_subcluster_posthoc.tsv								91.1544324935553				pericyte_state0 - pericyte_state1	5.60278809152913	3.33019253706923e-06	FALSE		
				0.487313566510857	0.173745623037237									at1r_response_score							at1r_by_subcluster_posthoc.tsv								146.82521511396				pericyte_state0 - pericyte_state2	2.80475305214692	0.0142941626181376	FALSE		
