nP	block	pattern	program	score	rho	n_markers	panel_size	overlap	jaccard	hypergeometric_p	hypergeometric_p_BH
9	PatternMarker x panel overlap	Pattern_7	fibroblast_like			50	9	2	0.0350877192982456	0.0190262285569111	0.1712360570122
9	PatternMarker x panel overlap	Pattern_7	basement_membrane			50	13	3	0.05	0.00334340875782582	0.0451360182306486
9	PatternMarker x panel overlap	Pattern_8	vascular_stabilizing			50	11	4	0.0701754385964912	9.33335201951106e-05	0.00252000504526799
9	PatternMarker x panel overlap	Pattern_8	inflammatory			50	16	0	0	1	1
9	PatternMarker x panel overlap	Pattern_8	synthetic_contractile			50	8	1	0.0175438596491228	0.180503392580465	0.833627235115698
9	PatternMarker x panel overlap	Pattern_8	activated_migratory			50	7	1	0.0178571428571429	0.159819480227624	0.833627235115698
9	PatternMarker x panel overlap	Pattern_8	fibroblast_like			50	9	1	0.0172413793103448	0.200688038083409	0.833627235115698
9	PatternMarker x panel overlap	Pattern_8	basement_membrane			50	13	0	0	1	1
9	PatternMarker x panel overlap	Pattern_9	vascular_stabilizing			50	11	0	0	1	1
9	PatternMarker x panel overlap	Pattern_9	inflammatory			50	16	0	0	1	1
9	PatternMarker x panel overlap	Pattern_9	synthetic_contractile			50	8	0	0	1	1
9	PatternMarker x panel overlap	Pattern_9	activated_migratory			50	7	0	0	1	1
9	PatternMarker x panel overlap	Pattern_9	fibroblast_like			50	9	0	0	1	1
9	PatternMarker x panel overlap	Pattern_9	basement_membrane			50	13	0	0	1	1
9	pattern vs AGTR1 (Spearman)	Pattern_1		AGTR1	0.139927612261415						
9	pattern vs AGTR1 (Spearman)	Pattern_2		AGTR1	-0.0286981883154339						
9	pattern vs AGTR1 (Spearman)	Pattern_3		AGTR1	0.048248617205357						
9	pattern vs AGTR1 (Spearman)	Pattern_4		AGTR1	0.111027036961784						
9	pattern vs AGTR1 (Spearman)	Pattern_5		AGTR1	0.161581821425098						
9	pattern vs AGTR1 (Spearman)	Pattern_6		AGTR1	-0.0530547578947549						
9	pattern vs AGTR1 (Spearman)	Pattern_7		AGTR1	0.0244698976252979						
9	pattern vs AGTR1 (Spearman)	Pattern_8		AGTR1	0.212760117492667						
9	pattern vs AGTR1 (Spearman)	Pattern_9		AGTR1	-0.055571538583786						
9	pattern vs program score (Spearman)	Pattern_1		anatomical_region_ccf_score							
9	pattern vs program score (Spearman)	Pattern_1		vascular_stabilizing_score	-0.422413250395253						
9	pattern vs program score (Spearman)	Pattern_1		inflammatory_score	-0.450300680128043						
9	pattern vs program score (Spearman)	Pattern_1		synthetic_contractile_score	-0.354729804057705						
9	pattern vs program score (Spearman)	Pattern_1		activated_migratory_score	-0.39653957356624						
9	pattern vs program score (Spearman)	Pattern_1		fibroblast_like_score	-0.38205583794581						
9	pattern vs program score (Spearman)	Pattern_1		basement_membrane_score	0.276942420780561						
9	pattern vs program score (Spearman)	Pattern_2		anatomical_region_ccf_score							
9	pattern vs program score (Spearman)	Pattern_2		vascular_stabilizing_score	0.290936982169139						
9	pattern vs program score (Spearman)	Pattern_2		inflammatory_score	0.460351526353786						
9	pattern vs program score (Spearman)	Pattern_2		synthetic_contractile_score	0.259327424243543						
9	pattern vs program score (Spearman)	Pattern_2		activated_migratory_score	0.398320327951301						
9	pattern vs program score (Spearman)	Pattern_2		fibroblast_like_score	0.186704430151309						
9	pattern vs program score (Spearman)	Pattern_2		basement_membrane_score	-0.208096799856196						
9	pattern vs program score (Spearman)	Pattern_3		anatomical_region_ccf_score							
9	pattern vs program score (Spearman)	Pattern_3		vascular_stabilizing_score	0.257970393791913						
9	pattern vs program score (Spearman)	Pattern_3		inflammatory_score	0.396018499391872						
9	pattern vs program score (Spearman)	Pattern_3		synthetic_contractile_score	0.193812742969141						
9	pattern vs program score (Spearman)	Pattern_3		activated_migratory_score	0.345383592856736						
9	pattern vs program score (Spearman)	Pattern_3		fibroblast_like_score	0.105448697494633						
9	pattern vs program score (Spearman)	Pattern_3		basement_membrane_score	-0.34673476976778						
9	pattern vs program score (Spearman)	Pattern_4		anatomical_region_ccf_score							
9	pattern vs program score (Spearman)	Pattern_4		vascular_stabilizing_score	-0.150022665809937						
9	pattern vs program score (Spearman)	Pattern_4		inflammatory_score	-0.0137694191042252						
9	pattern vs program score (Spearman)	Pattern_4		synthetic_contractile_score	-0.131793686714808						
9	pattern vs program score (Spearman)	Pattern_4		activated_migratory_score	0.0460274980317337						
9	pattern vs program score (Spearman)	Pattern_4		fibroblast_like_score	-0.0200981303515011						
9	pattern vs program score (Spearman)	Pattern_4		basement_membrane_score	0.156735289336151						
9	pattern vs program score (Spearman)	Pattern_5		anatomical_region_ccf_score							
9	pattern vs program score (Spearman)	Pattern_5		vascular_stabilizing_score	0.142006409016121						
9	pattern vs program score (Spearman)	Pattern_5		inflammatory_score	0.0776158356173592						
9	pattern vs program score (Spearman)	Pattern_5		synthetic_contractile_score	0.728469689095728						
9	pattern vs program score (Spearman)	Pattern_5		activated_migratory_score	0.103452937204269						
9	pattern vs program score (Spearman)	Pattern_5		fibroblast_like_score	0.0496866517753352						
9	pattern vs program score (Spearman)	Pattern_5		basement_membrane_score	0.133904575132447						
9	pattern vs program score (Spearman)	Pattern_6		anatomical_region_ccf_score							
9	pattern vs program score (Spearman)	Pattern_6		vascular_stabilizing_score	0.261813954266931						
9	pattern vs program score (Spearman)	Pattern_6		inflammatory_score	0.123331400141139						
9	pattern vs program score (Spearman)	Pattern_6		synthetic_contractile_score	0.0293744775617632						
9	pattern vs program score (Spearman)	Pattern_6		activated_migratory_score	0.311588381463153						
9	pattern vs program score (Spearman)	Pattern_6		fibroblast_like_score	0.430332211876917						
9	pattern vs program score (Spearman)	Pattern_6		basement_membrane_score	-0.00115881697286803						
9	pattern vs program score (Spearman)	Pattern_7		anatomical_region_ccf_score							
9	pattern vs program score (Spearman)	Pattern_7		vascular_stabilizing_score	0.327998679440115						
9	pattern vs program score (Spearman)	Pattern_7		inflammatory_score	0.160155570242922						
9	pattern vs program score (Spearman)	Pattern_7		synthetic_contractile_score	0.238100021446593						
9	pattern vs program score (Spearman)	Pattern_7		activated_migratory_score	0.234325260980141						
9	pattern vs program score (Spearman)	Pattern_7		fibroblast_like_score	0.389004681080461						
9	pattern vs program score (Spearman)	Pattern_7		basement_membrane_score	0.303823976164781						
9	pattern vs program score (Spearman)	Pattern_8		anatomical_region_ccf_score							
9	pattern vs program score (Spearman)	Pattern_8		vascular_stabilizing_score	0.583327136727593						
9	pattern vs program score (Spearman)	Pattern_8		inflammatory_score	0.386507970823512						
9	pattern vs program score (Spearman)	Pattern_8		synthetic_contractile_score	0.443101183707603						
9	pattern vs program score (Spearman)	Pattern_8		activated_migratory_score	0.261283634933096						
9	pattern vs program score (Spearman)	Pattern_8		fibroblast_like_score	0.174043228801384						
9	pattern vs program score (Spearman)	Pattern_8		basement_membrane_score	-0.338119259087602						
9	pattern vs program score (Spearman)	Pattern_9		anatomical_region_ccf_score							
9	pattern vs program score (Spearman)	Pattern_9		vascular_stabilizing_score	-0.481498518731289						
9	pattern vs program score (Spearman)	Pattern_9		inflammatory_score	-0.475102541805249						
9	pattern vs program score (Spearman)	Pattern_9		synthetic_contractile_score	-0.42238107179229						
9	pattern vs program score (Spearman)	Pattern_9		activated_migratory_score	-0.207845621313117						
9	pattern vs program score (Spearman)	Pattern_9		fibroblast_like_score	-0.066328361413633						
9	pattern vs program score (Spearman)	Pattern_9		basement_membrane_score	0.397308093521693						
