gene	stat	value
ERH	slope_EC_aerocyte	-0.094782410891077
ERH	slope_EC_gcap	-0.031995178716482
ERH	contrast_EC_aerocyte - EC_gcap	-0.062787232174595
ERH	contrast_epithelial - endothelial	0.184655633000672
ERH	lrt_chisq	3.54577714635752
FAM13C	slope_AT1	-0.106983398558445
FAM13C	slope_AT2	-0.0531755514240044
FAM13C	slope_EC_aerocyte	0.116362558924301
FAM13C	slope_EC_gcap	0.109944595159114
FAM13C	contrast_EC_aerocyte - EC_gcap	0.00641796376518738
FAM13C	contrast_epithelial - endothelial	-0.193233052032932
FAM13C	lrt_chisq	3.57910977129097
FARP1	slope_AT1	-0.00366148295276598
FARP1	slope_AT2	-0.210928693151244
FARP1	slope_EC_aerocyte	0.166787674936349
FARP1	slope_EC_gcap	0.107979679181595
FARP1	contrast_EC_aerocyte - EC_gcap	0.0588079957547544
FARP1	contrast_epithelial - endothelial	-0.244678765110977
FARP1	lrt_chisq	7.70608026763375
FOSB	slope_AT1	0.134878140098399
FOSB	slope_AT2	0.0330297296128068
FOSB	slope_EC_aerocyte	0.0537800289115794
FOSB	slope_EC_gcap	0.0436993966068465
FOSB	contrast_EC_aerocyte - EC_gcap	0.0100806323047329
FOSB	contrast_epithelial - endothelial	0.03521422209639
FOSB	lrt_chisq	0.58809336808406
FOXP1	slope_AT1	0.0254999318919797
FOXP1	slope_AT2	-0.198171431390055
FOXP1	slope_EC_aerocyte	-0.0329714434823158
FOXP1	slope_EC_gcap	-0.0966138978618076
FOXP1	contrast_EC_aerocyte - EC_gcap	0.0636424543794918
FOXP1	contrast_epithelial - endothelial	-0.021543079076976
FOXP1	lrt_chisq	2.54576232450142
FXYD1	slope_AT1	0.0402012757789097
FXYD1	slope_AT2	0.177432932644523
FXYD1	slope_EC_aerocyte	-0.108030839664216
FXYD1	slope_EC_gcap	-0.140490521089024
FXYD1	contrast_EC_aerocyte - EC_gcap	0.0324596814248077
FXYD1	contrast_epithelial - endothelial	0.233077784588336
FXYD1	lrt_chisq	5.94583842748466
GABARAPL2	slope_AT1	0.0354542441471181
GABARAPL2	slope_AT2	0.253827604031387
GABARAPL2	slope_EC_aerocyte	-0.14457977949711
GABARAPL2	slope_EC_gcap	-0.0727690720246603
GABARAPL2	contrast_EC_aerocyte - EC_gcap	-0.0718107074724501
GABARAPL2	contrast_epithelial - endothelial	0.253315349850138
GABARAPL2	lrt_chisq	8.41212783392211
GADD45B	slope_AT1	0.0943105040856153
GADD45B	slope_AT2	0.164190591691155
GADD45B	slope_EC_aerocyte	0.15375895402762
GADD45B	slope_EC_gcap	0.114263870869568
GADD45B	contrast_EC_aerocyte - EC_gcap	0.0394950831580521
GADD45B	contrast_epithelial - endothelial	-0.00476086456020914
GADD45B	lrt_chisq	0.302636458571556
GNAS	slope_AT1	-0.12187866458395
GNAS	slope_AT2	-0.203199436303676
GNAS	slope_EC_aerocyte	0.0611692404672267
GNAS	slope_EC_gcap	0.0411562125518857
GNAS	contrast_EC_aerocyte - EC_gcap	0.020013027915341
GNAS	contrast_epithelial - endothelial	-0.213701776953369
GNAS	lrt_chisq	4.55343600066146
GRN	slope_AT1	0.139225314486188
GRN	slope_AT2	0.115243019623379
GRN	slope_EC_aerocyte	0.181995778560431
GRN	slope_EC_gcap	0.120904652880396
GRN	contrast_EC_aerocyte - EC_gcap	0.0610911256800357
GRN	contrast_epithelial - endothelial	-0.02421604866563
GRN	lrt_chisq	0.252100200292603
GUK1	slope_AT1	-0.110628022878735
GUK1	slope_AT2	0.0521267607512505
GUK1	slope_EC_aerocyte	0.127195416046526
