from	to	family	partial_rho	n_donors	dropped_dataset
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.340646976090014	80	Krasnow_2020
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.18483690861005	83	Krasnow_2020
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.171610983102919	63	Krasnow_2020
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.319988479262673	63	Krasnow_2020
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0238218783904901	86	Krasnow_2020
AGT_source_index	Peri_AT1R_response	allowed	0.244718991325488	75	Lafyatis_2019
processing_index	Peri_AT1R_response	allowed	0.314145870251477	75	Lafyatis_2019
Peri_AGTR1	Peri_AT1R_response	allowed	0.00803411609985783	75	Lafyatis_2019
Peri_ACE2	Peri_AT1R_response	allowed	0.227494916297478	75	Lafyatis_2019
Peri_AT1R_response	contractile	allowed	0.234160641000586	85	Lafyatis_2019
Peri_AT1R_response	inflammatory	allowed	0.229020910689857	85	Lafyatis_2019
Peri_AT1R_response	activated_migratory	allowed	0.513464920852062	85	Lafyatis_2019
Peri_AT1R_response	BM_minus_FIB	allowed	-0.512839554426422	85	Lafyatis_2019
BM_minus_FIB	EC_readout	allowed	0.193244465003243	80	Lafyatis_2019
Peri_AT1R_response	EC_readout	allowed	0.355003118673774	80	Lafyatis_2019
AGT_source_index	BM_minus_FIB	forbidden	-0.0824037455195746	78	Lafyatis_2019
processing_index	EC_readout	forbidden	0.0586405026124563	79	Lafyatis_2019
Mast_CMA1	BM_minus_FIB	forbidden	-0.0984255692596207	62	Lafyatis_2019
VSMC_AGT	Peri_AGTR1	forbidden	0.032901181215788	90	Lafyatis_2019
AGT_source_index	Peri_AGTR1	forbidden	-0.172420996090836	93	Lafyatis_2019
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.163722353595771	78	Lafyatis_2019
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0197843413033286	80	Lafyatis_2019
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.203389285484597	72	Lafyatis_2019
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.252961865975565	73	Lafyatis_2019
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.297093295827473	80	Lafyatis_2019
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.364629990262902	79	Lafyatis_2019
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.201227674927352	82	Lafyatis_2019
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.253607312835235	62	Lafyatis_2019
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.408073329807862	62	Lafyatis_2019
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0473715067422318	85	Lafyatis_2019
AGT_source_index	Peri_AT1R_response	allowed	0.286830136109818	79	Lafyatis_Rojas_2019_10Xv2
processing_index	Peri_AT1R_response	allowed	0.302213137598351	79	Lafyatis_Rojas_2019_10Xv2
Peri_AGTR1	Peri_AT1R_response	allowed	0.0170251889664171	79	Lafyatis_Rojas_2019_10Xv2
Peri_ACE2	Peri_AT1R_response	allowed	0.298612422949791	79	Lafyatis_Rojas_2019_10Xv2
Peri_AT1R_response	contractile	allowed	0.243122233571672	89	Lafyatis_Rojas_2019_10Xv2
Peri_AT1R_response	inflammatory	allowed	0.239887640449438	89	Lafyatis_Rojas_2019_10Xv2
Peri_AT1R_response	activated_migratory	allowed	0.527953694245829	89	Lafyatis_Rojas_2019_10Xv2
Peri_AT1R_response	BM_minus_FIB	allowed	-0.525978890023834	89	Lafyatis_Rojas_2019_10Xv2
BM_minus_FIB	EC_readout	allowed	0.139270172201877	84	Lafyatis_Rojas_2019_10Xv2
Peri_AT1R_response	EC_readout	allowed	0.329829335919628	84	Lafyatis_Rojas_2019_10Xv2
AGT_source_index	BM_minus_FIB	forbidden	-0.0960053594809377	82	Lafyatis_Rojas_2019_10Xv2
processing_index	EC_readout	forbidden	0.0617327466702898	83	Lafyatis_Rojas_2019_10Xv2
Mast_CMA1	BM_minus_FIB	forbidden	-0.119890786023915	66	Lafyatis_Rojas_2019_10Xv2
VSMC_AGT	Peri_AGTR1	forbidden	0.0106191144059307	92	Lafyatis_Rojas_2019_10Xv2
AGT_source_index	Peri_AGTR1	forbidden	-0.165845464725644	95	Lafyatis_Rojas_2019_10Xv2
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.147593082356526	82	Lafyatis_Rojas_2019_10Xv2
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0615633264766383	83	Lafyatis_Rojas_2019_10Xv2
